"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_VIC01_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000142192",0.0370311213334657,0.817141530412204,5,0,0.120398601150361,1,1
"ENSG00000069849",1.0176819001186e-12,1,3,0,-0.120239199895306,1,1
"ENSG00000168275",0.00263917317802399,1,3,0,0.120205116537201,1,1
"ENSG00000159346",9.36244961506694e-08,1,3,0,-0.120014064496948,1,1
"ENSG00000105701",3.16114768532334e-06,1,4,0,0.119886473627852,1,1
"ENSG00000048342",5.17907409178063e-05,0.48201252335009,5,0,-0.119864139962909,1,1
"ENSG00000182093",1.12643264698458e-08,1,6,0,0.119830213093612,1,1
"ENSG00000131373",0.00315497206173771,1,4,0,0.119518201548999,1,1
"ENSG00000168374",2.28897723863457e-11,1,3,0,0.119274143105439,1,1
"ENSG00000102317",8.17033069407859e-05,1,3,0,-0.118730069688343,1,1
"ENSG00000144674",0.0102491648921625,1,6,0,-0.118572728865685,1,1
"ENSG00000165474",0.000171303595298171,1,3,0,-0.118499703635672,1,1
"ENSG00000159348",0.0133429906689461,1,3,0,0.118305416657951,1,1
"ENSG00000129657",2.59389107741088e-11,1,6,0,-0.117981727988441,1,1
"ENSG00000213920",5.74112615144878e-05,1,6,0,0.117792103258287,1,1
"ENSG00000142046",0.00341437620346729,1,11,0,0.11778695992244,1,0.833333333333333
"ENSG00000129460",0.00132356388932121,1,3,0,-0.117627598325758,1,1
"ENSG00000106263",0.00247430947997692,1,4,0,0.116498514394813,1,1
"ENSG00000104325",1.8852409879734e-06,1,4,0,0.116278789609286,1,1
"ENSG00000158050",6.24124775552329e-05,1,5,0,0.11610266036137,1,1
"ENSG00000008952",0.000343719612235119,0.822732508432561,3,0,0.116102313000594,1,1
"ENSG00000149292",0.0190058090474009,1,4,0,0.116075693833369,1,1
"ENSG00000167700",0.0159872275478785,1,3,0,-0.115952462783914,1,1
"ENSG00000276422",2.57885951509958e-06,0.107710927728505,4,0,-0.115718127753444,1,1
"ENSG00000172500",2.53848501958233e-24,1,4,0,0.115666197085634,1,1
"ENSG00000162521",0.000215008172304131,1,7,0,-0.115108940660044,1,1
"ENSG00000109113",2.74729357266135e-06,1,7,0,-0.11494595360972,1,1
"ENSG00000128739",0.0286394683116719,0,2,2,-0.114891915632242,1,1
"ENSG00000142765",5.72584047961971e-11,1,3,0,0.114714159709186,1,1
"ENSG00000163931",4.63851473933438e-26,1,3,0,0.114570797129089,1,1
"ENSG00000140319",2.59968325607558e-09,0,2,2,0.11452695192875,1,1
"ENSG00000269858",1.60175718684967e-09,1,6,0,-0.114196792162269,1,1
"ENSG00000147687",0.0191466425806625,1,4,0,0.114187169456752,1,1
"ENSG00000125734",0.00278616974620456,1,4,0,0.114104295240263,1,1
"ENSG00000198663",0.0305553004585077,0.735329081654812,3,0,0.114072777606016,1,1
"ENSG00000131037",6.30440034813037e-05,1,4,0,-0.113898198158248,1,1
"ENSG00000179950",0.00773834701036173,1,3,0,0.113816110555998,1,1
"ENSG00000087884",0.00247480271570236,0.711350102100773,3,0,0.1137317504036,1,1
"ENSG00000095066",1.2321942199468e-08,1,6,0,-0.113311455652387,1,1
"ENSG00000186973",0.00496889893411166,1,3,0,-0.112706311691701,1,1
"ENSG00000130813",0.00779280219984062,1,3,0,-0.112355229227572,1,1
"ENSG00000144848",0.000237686630921791,1,3,0,0.112008755570545,1,1
"ENSG00000172757",6.4738183299402e-19,1,3,0,-0.111870533504903,1,1
"ENSG00000110871",0.0365861963592099,1,3,0,-0.111707859956575,1,1
"ENSG00000165644",7.02629003794927e-08,1,5,0,-0.111491197704916,1,1
"ENSG00000169567",5.10211493729738e-07,1,8,0,-0.111474828274229,1,1
"ENSG00000196998",1.3002438816396e-07,1,4,0,-0.111378146483351,1,1
"ENSG00000084754",0.0331532954478313,0.180578972582316,3,0,0.111256395631234,1,1
"ENSG00000145293",0.00258148958056334,1,4,0,0.111200573645383,1,1
"ENSG00000123983",0.0357970808332153,1,5,0,0.110920754345042,1,1
"ENSG00000169908",5.43732544940172e-14,1,3,0,-0.110779604519898,1,1
"ENSG00000170776",9.46509624768893e-09,1,10,0,0.11053311304321,1,1
"ENSG00000050426",0.0118234496242249,1,11,0,0.11000006046545,1,1
"ENSG00000166165",2.70173399126843e-10,0,2,2,-0.109697537085424,1,1
"ENSG00000163938",7.52960593843871e-08,1,3,0,-0.109597496198227,1,1
