"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000068137",3.29252677714199e-08,0.0286879496223073,9,1,-0.333391481623275,1,1
"ENSG00000169814",0.00030224757501104,0.463687489206895,5,0,-0.333334744536772,1,0.833333333333333
"ENSG00000119950",7.34477778909251e-06,0.0597719262193079,7,0,-0.33333373056295,1,1
"ENSG00000166979",1.03450013389683e-18,1,8,0,0.333333332442363,1,1
"ENSG00000204843",0.000141038807209982,1,8,0,0.333332781312133,1,0.833333333333333
"ENSG00000122482",5.4463500551972e-07,1,10,0,-0.33333270981956,1,0.833333333333333
"ENSG00000160298",0.000798002511062515,1,7,0,0.333315173287374,1,1
"ENSG00000070476",0.0301975640275826,0.0846995429320296,3,0,0.3329067804768,1,1
"ENSG00000116747",1.2840998160098e-05,0.921153917599155,6,0,0.332881355861123,1,1
"ENSG00000175550",4.02319748747492e-58,1,3,0,0.332677397584431,1,1
"ENSG00000136527",3.26260537971374e-09,0.605074363826028,7,0,0.332579289430009,1,1
"ENSG00000138642",4.48125849623436e-10,0.772880517302405,6,0,0.33247648186344,1,1
"ENSG00000140575",4.42762385369561e-05,0.225182965383156,4,0,0.331903757683022,1,1
"ENSG00000243955",7.29658593541144e-40,3.37760770658588e-11,3,1,-0.331667476157264,1,1
"ENSG00000124839",0.00416900679369022,1,6,0,-0.331617937275233,1,0.833333333333333
"ENSG00000124570",3.58644196478298e-05,3.89306201550733e-07,6,1,0.331588271576987,1,1
"ENSG00000163931",2.33807501888792e-61,1.9605349728941e-46,3,2,-0.331425300260648,1,1
"ENSG00000090989",0.000146787499133356,1,7,0,-0.331181835307284,1,1
"ENSG00000164172",5.07725706128636e-09,0.903581562867215,3,0,-0.33102149974296,1,1
"ENSG00000117419",0.00713117246911786,0.162263520760238,4,0,-0.330317543509258,1,1
"ENSG00000145740",0.00795610311320995,0.202280146484268,3,0,0.330296575006327,1,1
"ENSG00000253982",0.0219244317895554,0.533676513983653,4,0,0.32995468821975,1,0.833333333333333
"ENSG00000175354",6.01265550921311e-10,0.0128151141915291,6,1,0.329890349717239,1,1
"ENSG00000165806",0.00403188001849824,1,6,0,0.329631739119935,1,1
"ENSG00000159714",0.000101032070821399,0.0709689410256626,7,0,0.329044307317616,1,1
"ENSG00000165055",0.0103605843682269,0.373613409477275,5,0,0.328003192461679,1,1
"ENSG00000110002",0.0392534558371098,0.393491033506653,3,0,0.32582265709753,1,1
"ENSG00000116212",3.72914705240671e-07,0.000103311134646043,7,1,0.325758457339143,1,1
"ENSG00000172638",0.0428198369984627,0.169893592240242,4,0,-0.325287542730581,1,1
"ENSG00000126214",0.000422385002063267,1,8,0,-0.325051625715246,1,1
"ENSG00000105821",0.00196312802816904,0.037193970814748,6,1,-0.324310260424133,1,1
"ENSG00000129007",0.029439650652701,0.193366242007954,4,0,0.324079026923906,1,1
"ENSG00000169062",2.99986689159131e-21,1,9,0,-0.324054422731635,1,1
"ENSG00000180098",0.00508678407487444,0.0066950479353524,5,2,-0.323985007258509,1,1
"ENSG00000169045",2.24013591513194e-10,0.462639813566983,9,0,0.323529378195657,1,1
"ENSG00000150773",2.15086898694841e-06,0.059284981426434,8,0,0.322991657782959,1,1
"ENSG00000100445",0.00535820388422789,1,5,0,-0.32275811169238,1,1
"ENSG00000174718",0.000139451582462578,1,9,0,-0.322578125958409,1,1
"ENSG00000106052",5.33598732400316e-16,1,6,0,-0.322326881981965,1,1
"ENSG00000173272",7.38960489821928e-31,1.10566898612873e-10,3,1,-0.321883161062775,1,1
"ENSG00000139835",9.36743922510156e-13,1,6,0,0.321601625904071,1,1
"ENSG00000264230",2.00324778636162e-05,0.0164492024574253,4,1,-0.320059025815563,1,1
"ENSG00000125743",0.0271094367007973,0.11646933985037,3,0,0.319886992960677,1,1
"ENSG00000197562",0.0359574957661874,0.851170490291766,4,0,0.319869760292397,1,1
"ENSG00000163584",1.30503558651342e-56,1,4,0,0.319793318323741,1,1
"ENSG00000116213",0.0438563814441576,0.00904190649335735,3,1,-0.319785306845646,1,1
"ENSG00000179094",1.7732150464154e-37,1,9,0,-0.319444345075153,1,1
