"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_uninfected_child_Uninfected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",3.65741505316676e-241,1,3,0,-0.991930009710101,1,1
"ENSG00000198830",2.36798204253759e-33,0.0401837138592298,7,1,0.975234583395077,1,0.666666666666667
"ENSG00000104388",1.87779743971287e-06,0.00283987536774369,3,1,0.974531269003027,1,0.666666666666667
"ENSG00000064199",4.80364831382765e-05,1,3,0,-0.957272317160677,0.833333333333333,0.5
"ENSG00000166508",3.61439948439227e-06,0.424710487151744,3,0,-0.943354910113827,0.833333333333333,0.5
"ENSG00000137692",1.53173034312295e-11,1,3,0,-0.941602022575416,1,0.666666666666667
"ENSG00000150787",2.39232593766872e-09,1,4,0,-0.928084620190452,1,0.833333333333333
"ENSG00000104979",0.000481317754302977,0.00137342575514295,3,1,-0.921923454059435,1,0.833333333333333
"ENSG00000211450",2.84398823498775e-94,4.43140313541037e-54,3,1,0.90841512090095,1,1
"ENSG00000130164",1.54618872816864e-07,0.000966876238742289,3,2,-0.906345303324149,0.833333333333333,0.833333333333333
"ENSG00000257698",2.47357536952445e-15,0.0809171724777042,5,0,-0.902021424508185,1,0.5
"ENSG00000162896",3.73629950153682e-22,1.37833492561842e-11,4,1,0.898443691318547,1,0.666666666666667
"ENSG00000078140",4.31183961861211e-13,1,4,0,-0.895089871969245,1,0.833333333333333
"ENSG00000162522",9.60963596702893e-15,1,5,0,0.887546751959152,1,0.5
"ENSG00000120963",1.75153563452309e-28,1,6,0,0.88476593553319,1,0.666666666666667
"ENSG00000171490",2.8052168788911e-10,0.000142411400231215,4,1,0.881106364532484,1,0.833333333333333
"ENSG00000170296",1.56934159522824e-10,0.266627718907939,5,0,0.880105169735018,1,0.833333333333333
"ENSG00000257727",6.35380173659393e-09,0.000154880269658221,3,1,-0.876304656666776,1,1
"ENSG00000169567",3.78395178947187e-07,0.00132277425904603,3,1,-0.855161825135344,1,1
"ENSG00000165698",1.09994723139665e-05,1,5,0,0.854575336339854,0.833333333333333,0.666666666666667
"ENSG00000138107",0.00093853983726095,0.353672877539616,3,0,0.843741127086726,1,0.666666666666667
"ENSG00000068001",1.0113422240456e-08,1,6,0,-0.838702795621636,1,0.5
"ENSG00000204618",2.00516962254598e-05,0.00305192251907946,3,1,0.831097556324409,1,0.666666666666667
"ENSG00000104660",1.34073823862425e-05,0.0187019062070923,3,1,0.829743494310535,1,0.833333333333333
"ENSG00000155749",0.000305328932793439,0.196953320769787,3,0,-0.829408305588418,1,0.666666666666667
"ENSG00000028203",0.00440062747447574,1,6,0,0.829385476282142,1,0.5
"ENSG00000070785",0.000747064474518005,1,3,0,-0.827364512339841,1,0.5
"ENSG00000115457",1.89571037105826e-46,1.53200827852244e-44,5,2,0.824340534817071,1,1
"ENSG00000101782",0.000599007413665923,1,3,0,0.823941780513728,0.833333333333333,0.5
"ENSG00000174547",7.50408243434362e-19,3.28113482132318e-14,4,1,-0.820134462178389,1,1
"ENSG00000130363",0.00261221139829606,1,3,0,0.819830356793974,1,0.666666666666667
"ENSG00000164919",4.08075665566155e-38,2.0863351556371e-39,3,2,-0.815810364627834,1,1
"ENSG00000115677",1.03681060509548e-07,1,3,0,0.815135526428,1,0.833333333333333
"ENSG00000152904",1.8989570555938e-08,1,4,0,0.805506115831704,1,0.666666666666667
"ENSG00000121073",0.000155636111044709,1,4,0,0.802843839793357,0.833333333333333,0.5
"ENSG00000163882",7.78497931668442e-11,1,4,0,-0.802552679950476,1,0.833333333333333
"ENSG00000158747",1.41388510913532e-06,0.00315835268774891,5,1,-0.801576704652058,1,0.833333333333333
"ENSG00000142687",0.00178194877236785,1,5,0,0.798931261866103,1,0.5
"ENSG00000124243",0.00172758041228851,1,4,0,-0.797566921277898,1,0.5
"ENSG00000167986",1.24329608467749e-06,0.643914079818758,3,0,-0.796681084422193,1,1
"ENSG00000128989",0.00190451415136239,1,3,0,-0.793293896412472,0.833333333333333,0.5
"ENSG00000100568",1.10289805456719e-16,0.345464869048152,4,0,-0.78585383912679,1,1
"ENSG00000173171",1.67454586493383e-19,3.96380129848316e-14,4,1,-0.781112527880096,1,1
"ENSG00000117523",0.000846622088877608,0.00034294745559868,5,1,0.779166131633463,1,0.666666666666667
"ENSG00000205336",0.0100389157763016,0.00338355341176811,5,1,0.774374568393843,1,0.666666666666667
"ENSG00000177570",0.00300365989489644,1,4,0,-0.770370022136105,1,0.833333333333333
"ENSG00000108592",0.00520645439882297,1,3,0,-0.76365926717135,0.833333333333333,0.666666666666667
"ENSG00000285437",0.000747064474518005,1,6,0,0.762832871523051,1,0.666666666666667
"ENSG00000004961",8.45072021589504e-14,1,7,0,-0.761366206034947,1,1
"ENSG00000142599",0.00118363805271964,1,4,0,-0.75589117947275,1,0.833333333333333
"ENSG00000095787",0.00300365989489644,0.969631864457779,3,0,-0.746885704788011,1,1
"ENSG00000142627",9.41126202326547e-12,1,3,0,0.746662233707603,1,1
"ENSG00000159658",0.0057355780102027,1,3,0,0.746278571910422,0.833333333333333,0.666666666666667
"ENSG00000117592",5.33581641465545e-76,1,3,0,-0.745420986941411,1,1
"ENSG00000129657",7.81148064334828e-11,1,7,0,-0.744123727016116,1,0.666666666666667
"ENSG00000187118",6.17549714875391e-09,1,6,0,0.743253859113871,1,1
"ENSG00000204536",0.00123570390694419,0.569053579671393,3,0,0.741461822855315,1,0.666666666666667
