"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000176946",0.0384622434704755,0,2,2,0.27471257358511,1,1
"ENSG00000135317",2.06755546315617e-07,1,10,0,-0.274648228996059,1,1
"ENSG00000197641",0.000309287131839136,0.0304178429987221,6,1,0.274468866726398,1,1
"ENSG00000072609",0.0316459955131644,0.28394777757379,5,0,-0.274414276677271,1,1
"ENSG00000160570",0.000231722464780506,0.194924270010753,6,0,-0.273646750664543,1,1
"ENSG00000161036",0.0217429003231422,0.0045311458252712,3,2,0.272736341009393,1,1
"ENSG00000172113",6.91621747937577e-05,1,11,0,0.272726905162714,1,1
"ENSG00000164163",0.01785839291411,0.00358783516811704,3,2,0.272459274737962,1,1
"ENSG00000163882",0.000153372265198939,0.117333367309012,8,0,0.271802762290956,1,0.833333333333333
"ENSG00000198729",3.85583847299103e-11,1,5,0,0.27135423797927,1,1
"ENSG00000186283",0.00389237901307437,0.148341212196062,4,0,-0.271286575933436,1,1
"ENSG00000213246",2.86787301706252e-10,9.00829539284004e-05,4,1,-0.271142516226107,1,1
"ENSG00000110107",5.44736382015314e-05,1,3,0,-0.270282783093086,1,1
"ENSG00000113368",0.0425867356686378,0.215212992231979,3,0,0.270006378809916,1,1
"ENSG00000123358",1.1160875385043e-05,0.0645259879458296,8,0,0.269788568766076,1,1
"ENSG00000087494",0.0114380383157276,0.0475828749720637,6,1,-0.269727110039301,1,1
"ENSG00000185347",2.49206948337491e-05,1,9,0,-0.26954995328225,1,1
"ENSG00000139722",2.5670413377781e-09,1,4,0,0.269230604815905,1,1
"ENSG00000129625",1.63155513820605e-25,1.95510356990152e-09,3,1,0.269027484377155,1,1
"ENSG00000065054",0.00195991690523133,0.0646167494045117,8,0,0.267345533660661,1,1
"ENSG00000163093",0.0220089482640038,0.0935748797311346,3,0,-0.267118245756533,1,1
"ENSG00000139218",2.43929602700021e-05,1,5,0,-0.267017246218365,1,1
"ENSG00000066136",0.000916819851969522,1,7,0,0.266519444253852,1,1
"ENSG00000226067",1.4802593755182e-10,0.350430176021051,7,0,0.266431895828984,1,1
"ENSG00000143537",1.1147710194055e-05,1,8,0,0.266203021793588,1,1
"ENSG00000184983",5.56346714238868e-05,1.49834665941573e-05,3,2,0.265657099065464,1,1
"ENSG00000138069",1.03960087590387e-06,9.41028361464418e-08,4,2,-0.265116368026744,1,1
"ENSG00000049656",0.00122063873862632,1,5,0,-0.264944064038432,1,1
"ENSG00000122545",1.10034215810263e-36,1,5,0,0.264878065906079,1,1
"ENSG00000183291",1.9584086312533e-05,0.00302250623586048,3,1,0.264628400901037,1,1
"ENSG00000139644",3.63302740946358e-05,0,2,2,-0.264560343967758,1,1
"ENSG00000133773",0.0434010628247818,0.0123025311641662,3,1,-0.264337509610871,1,1
"ENSG00000130813",2.1748564743883e-06,0.0201876016228876,6,1,-0.264135436274706,1,1
"ENSG00000064490",5.17410215540047e-10,1,6,0,0.264061448241136,1,1
"ENSG00000167543",1.21013843601827e-07,0.41063435764093,4,0,0.264058165300669,1,1
"ENSG00000163382",5.26285686624255e-20,1,3,0,-0.263649164855122,1,1
"ENSG00000049283",0.0361641148541265,1,5,0,-0.263583969678136,0.833333333333333,0.833333333333333
"ENSG00000124164",0.00854871974313342,0.920840771433003,5,0,-0.263186737489578,1,1
"ENSG00000144161",0.0421182163627221,0.923880455699767,4,0,-0.26313508107048,1,0.833333333333333
"ENSG00000112110",1.73849908420516e-17,7.53187011962937e-05,3,1,-0.26259605216907,1,1
"ENSG00000144048",8.68479633140875e-05,0.235111802277711,3,0,-0.261662439593032,1,1
"ENSG00000117616",4.57536467025808e-06,1,6,0,0.261490238162744,1,1
"ENSG00000106635",1.21623238566811e-05,1,8,0,0.261276636798336,1,1
"ENSG00000171720",1.12551940025458e-07,1,5,0,-0.261231667898495,1,1
"ENSG00000139835",7.96898383107139e-09,1,5,0,-0.260987157052562,1,1
"ENSG00000108578",1.1763339295396e-05,1,3,0,0.260222097653333,1,1
"ENSG00000154473",4.44110594279044e-08,1,3,0,0.26021504749662,1,1
"ENSG00000115310",1.71980589781457e-24,1,4,0,-0.260152185082684,1,1
"ENSG00000178935",0.0129872975515549,0.850816529768694,3,0,0.259883023473617,1,1
"ENSG00000062038",1.12215388657239e-10,1,5,0,0.259314831336728,1,1
"ENSG00000145216",3.52417210217591e-08,1,13,0,-0.259259152940129,1,0.833333333333333
"ENSG00000218739",0.00979620295202441,0.0186785065954062,3,1,-0.259022734153037,1,1
"ENSG00000174718",3.30399637832236e-05,1,9,0,-0.258514930117672,1,1
"ENSG00000167986",3.17461302041872e-08,0.00201544284248587,4,1,-0.258426480440594,1,1
"ENSG00000128383",0.0120243181198837,0.0706273617125195,5,0,0.25808574166486,1,1
"ENSG00000179094",9.50110091566244e-21,0.0104965484107416,9,1,0.257848901489124,1,1
"ENSG00000188603",4.32965773115897e-08,1,5,0,0.257143203307016,1,1
"ENSG00000131188",0.0230447959808172,0.00493768139481163,3,2,0.256387513248232,1,1
"ENSG00000141580",7.92826631294528e-05,0.0342159642237642,4,1,0.256272431752142,1,1
"ENSG00000122481",4.53894844655605e-06,1,8,0,0.255623687485594,1,1
"ENSG00000168036",5.67284144664473e-13,1,8,0,0.254973278172144,1,1
"ENSG00000145191",0.0187840739637395,0.605850434061511,5,0,-0.254107420247432,1,1
"ENSG00000132463",9.54580353162119e-06,0.019076274978767,8,1,0.253772527380927,1,1
"ENSG00000167766",0.000989292815054175,1,8,0,-0.253259323271393,1,1
"ENSG00000100124",0.00240866360419165,0.117487709364842,3,0,0.253246473347776,1,1
"ENSG00000177989",1.32560700802725e-08,3.93657392704007e-06,8,2,0.252571317469059,1,1
"ENSG00000134779",1.64753244974247e-08,1,8,0,0.252192435625787,1,1
"ENSG00000115241",1.03599798970723e-12,1,3,0,0.250573725143161,1,1
"ENSG00000186594",0.00104781164608495,1,8,0,-0.250000007944717,1,1
"ENSG00000124570",2.20922332007863e-06,0.000763056932471658,7,1,0.249814361750496,1,1
"ENSG00000170545",1.25538740770321e-12,1,5,0,0.249719053645137,1,1
"ENSG00000154845",0.0134975285112521,1,6,0,-0.249147769770546,1,1
"ENSG00000137473",0.00011513315866871,0.449877885293256,6,0,0.248832408917085,1,1
"ENSG00000100918",0.00618418044693503,0.055937268118073,6,0,0.248829171088256,1,1
"ENSG00000070526",4.85704726298239e-29,6.98392492332445e-05,6,1,-0.248756012577539,1,1
"ENSG00000204348",0.0149144625876441,1,7,0,-0.248576344660659,1,1
"ENSG00000188690",2.87071432548108e-09,1,6,0,0.247606158415768,1,1
"ENSG00000157259",0.0377076108282292,0.471423543858239,3,0,-0.247345556356894,1,1
"ENSG00000151023",0.0111436847435348,0.00257235567727405,3,2,0.24704068234499,1,1
"ENSG00000197956",3.85110031010972e-270,1,3,0,-0.246923241316463,1,1
"ENSG00000165525",0.00107289148462194,0.00943126302423604,5,1,-0.246576169251795,1,1
"ENSG00000150773",7.52078098525257e-07,1,6,0,0.246096710306173,1,1
"ENSG00000042753",3.89655841688189e-12,4.8181874042008e-12,5,1,-0.246052087539711,1,1
"ENSG00000187522",0.000386073367812215,0.990974235603749,3,0,0.245728222825393,1,1
"ENSG00000105856",2.763180040209e-08,0.21182986987908,5,0,-0.245711375300326,1,1
"ENSG00000116663",7.24974939225406e-05,0.256333025877178,4,0,0.245549458432603,1,1
"ENSG00000133328",1.41542798512709e-14,6.21233418400634e-08,3,1,-0.245444727059323,1,1
"ENSG00000137575",2.16560949184281e-07,1,5,0,-0.245139734493759,1,1
"ENSG00000085117",1.63355230839524e-08,0,2,2,-0.244992564980322,1,1
"ENSG00000196591",6.00038302430061e-13,0.816958502161007,5,0,-0.244312296274343,1,1
"ENSG00000115504",4.31077707532467e-05,0.349664748875784,6,0,-0.243193866192375,1,1
"ENSG00000243836",9.03732214164478e-13,1,5,0,0.243007367671449,1,1
"ENSG00000177459",0.00198958547322931,0,2,2,0.243000597050661,1,1
"ENSG00000186522",6.11607037899994e-06,0.0944163522825825,6,0,-0.242913912490905,1,1
