"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000178952"	"ENSG00000178952"	1.14211416938582e-05	0	2	2	0.0455614959837443	1	1
"ENSG00000118181"	"ENSG00000118181"	0.0166207032377303	0	2	2	-0.0444390409426239	1	1
"ENSG00000186081"	"ENSG00000186081"	0.028102240094094	0	2	2	0.0428907043103029	1	1
"ENSG00000089157"	"ENSG00000089157"	5.47776246453264e-07	0	2	2	-0.0338614794455552	1	1
"ENSG00000116251"	"ENSG00000116251"	0.00484314425494793	0	2	2	-0.0331536421982458	1	1
"ENSG00000111640"	"ENSG00000111640"	0.00141017698664543	0	2	2	0.0274324924093012	1	1
"ENSG00000131981"	"ENSG00000131981"	1.89795561064816e-06	0	2	2	0.0271797157555447	1	1
"ENSG00000265681"	"ENSG00000265681"	1.98594568500979e-10	0	2	2	0.0263407741229981	1	1
"ENSG00000142676"	"ENSG00000142676"	1.47448996897653e-05	0	2	2	0.0253297667510409	1	1
"ENSG00000171345"	"ENSG00000171345"	1.05883507273923e-10	0	2	2	-0.0201496202427755	1	1
"ENSG00000196754"	"ENSG00000196754"	3.42090899414917e-294	4.15226843842022e-220	4	1	0.801848202304497	1	1
"ENSG00000089356"	"ENSG00000089356"	5.4642797204643e-179	2.29500948883969e-167	3	2	-0.514136045293067	1	1
"ENSG00000167996"	"ENSG00000167996"	4.07137111513018e-156	1.43922876157572e-159	4	2	0.377543134672642	1	1
"ENSG00000122026"	"ENSG00000122026"	3.42090899414917e-294	8.90276031209308e-139	3	1	0.387603232715937	1	1
"ENSG00000165949"	"ENSG00000165949"	2.60105820821746e-110	4.09938390321793e-98	3	2	-0.229384729136717	1	1
"ENSG00000130429"	"ENSG00000130429"	2.24438828659261e-127	9.2436553368784e-97	4	1	0.427961574959907	1	1
"ENSG00000241468"	"ENSG00000241468"	8.18614387852668e-150	1.1363657632641e-85	3	1	0.495260679807946	1	1
"ENSG00000149273"	"ENSG00000149273"	3.42090899414917e-294	1.42246794079026e-81	6	1	-0.988279148092981	1	1
"ENSG00000114942"	"ENSG00000114942"	3.45105023587868e-142	6.3421671927043e-78	3	1	-0.209168476612013	1	1
"ENSG00000165637"	"ENSG00000165637"	1.31043375755182e-106	7.74812483683564e-69	3	1	-0.537487612606097	1	1
"ENSG00000173812"	"ENSG00000173812"	1.37670667834645e-77	1.59356812199412e-66	4	1	-0.289917227521886	1	1
"ENSG00000204387"	"ENSG00000204387"	3.42149623982441e-84	5.34314571295688e-59	4	1	0.702382600455844	1	1
"ENSG00000168003"	"ENSG00000168003"	2.0160569651418e-80	4.06398155838924e-56	4	1	0.648866481693533	1	1
"ENSG00000174748"	"ENSG00000174748"	3.42090899414917e-294	4.17758869427811e-50	5	1	-0.818343184454808	1	1
"ENSG00000197728"	"ENSG00000197728"	3.81734361192031e-43	2.06994418247242e-45	3	2	-0.890887435666809	1	1
"ENSG00000163931"	"ENSG00000163931"	1.62871115723807e-55	1.17380985253528e-44	3	2	-0.355259925271342	1	1
"ENSG00000143198"	"ENSG00000143198"	4.19594934425521e-104	5.65249878303248e-43	4	1	-0.457945871889609	1	1
"ENSG00000067225"	"ENSG00000067225"	3.03612819813308e-115	1.15584264701743e-41	4	1	0.350386717334443	1	1
"ENSG00000120256"	"ENSG00000120256"	1.29213594577586e-41	9.97652760163267e-38	3	1	-0.762413469970149	1	1
"ENSG00000157601"	"ENSG00000157601"	3.64567115692288e-113	6.04978435196722e-37	7	1	0.442183183666375	1	1
"ENSG00000129235"	"ENSG00000129235"	2.24523529012446e-55	1.57882802161821e-34	4	1	-0.813880487468567	1	1
"ENSG00000150753"	"ENSG00000150753"	6.58079640083968e-63	2.18350033701938e-34	3	1	0.498646014165546	1	1
"ENSG00000158373"	"ENSG00000158373"	3.08338904608437e-50	8.41182867896485e-34	5	1	0.897217995622218	1	0.833333333333333
"ENSG00000189403"	"ENSG00000189403"	4.92701461886523e-125	1.15662431151855e-32	6	1	0.506616235183755	1	1
"ENSG00000101608"	"ENSG00000101608"	1.05656007437835e-109	2.50089001097888e-31	6	2	-0.656759970744705	1	1
"ENSG00000122644"	"ENSG00000122644"	1.50496646070469e-26	1.34396264097927e-27	5	3	-0.551290923423833	1	1
"ENSG00000164733"	"ENSG00000164733"	5.00497672331908e-75	5.58370345647598e-26	5	1	-0.589811622399735	1	1
"ENSG00000109861"	"ENSG00000109861"	1.9430165949711e-45	2.91733489354648e-25	3	1	0.287854459779072	1	1
"ENSG00000108848"	"ENSG00000108848"	5.49952781752383e-24	3.75941329110477e-25	3	1	-0.660431139994075	1	1
"ENSG00000093010"	"ENSG00000093010"	6.84840218053391e-47	1.22261805874971e-22	5	1	0.819587290854494	1	1
"ENSG00000150779"	"ENSG00000150779"	1.55627160042805e-18	3.53977993346577e-21	4	4	-0.549089190608678	1	1
"ENSG00000160180"	"ENSG00000160180"	3.09528857101482e-46	7.22319543344419e-21	3	1	0.447014761900139	1	1
"ENSG00000070756"	"ENSG00000070756"	5.31304093107993e-101	2.6697912014455e-19	4	1	-0.550256982207058	1	1
"ENSG00000079462"	"ENSG00000079462"	4.07631997387303e-53	3.40002201586228e-19	4	1	-0.624942407897496	1	1
"ENSG00000110958"	"ENSG00000110958"	1.21009893399939e-42	6.62283297175863e-19	5	1	-0.406281027973352	1	1
"ENSG00000089127"	"ENSG00000089127"	6.43888648148534e-22	1.19322907827132e-18	6	2	-0.418714357052309	1	1
"ENSG00000170477"	"ENSG00000170477"	2.65348183902915e-36	2.05449571769874e-18	5	1	0.199373384074748	1	1
"ENSG00000078668"	"ENSG00000078668"	9.70408776134863e-35	3.21619140840657e-18	3	1	-0.442645497281417	1	1
"ENSG00000185825"	"ENSG00000185825"	9.48077825385483e-41	6.67515699361275e-18	4	1	-0.437434736538008	1	1
"ENSG00000185650"	"ENSG00000185650"	1.62804316145521e-31	9.44295472462451e-18	4	1	0.685391083456091	1	1
"ENSG00000142192"	"ENSG00000142192"	1.76395616475452e-36	1.86454568950255e-17	8	1	0.371269891354864	1	1
"ENSG00000230937"	"ENSG00000230937"	1.41099044017556e-61	3.53347917114235e-17	8	1	-0.236720836840044	1	1
"ENSG00000100129"	"ENSG00000100129"	6.12539061295585e-31	5.58113071582722e-16	5	2	-0.33084953478022	1	1
"ENSG00000166803"	"ENSG00000166803"	2.07959426252647e-19	9.77818948665892e-16	5	1	0.670443479720384	1	1
