"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000132746",0.0345374454351053,0,2,2,-0.469920409104762,1,1
"ENSG00000188732",0.00399673264816316,1,4,0,-0.469626100993629,1,0.833333333333333
"ENSG00000072110",2.00571998299868e-70,1,5,0,-0.469437955414899,1,1
"ENSG00000138162",1.10928957407672e-29,1,5,0,-0.468870249680209,1,1
"ENSG00000146416",2.0516260564668e-05,1,4,0,0.467919374795775,1,1
"ENSG00000076928",0.000983525821262195,0.0066382303676576,5,1,0.467700720567645,1,1
"ENSG00000050820",5.77198313062254e-12,0.454296192676705,5,0,0.466983528258662,1,1
"ENSG00000175110",4.10650042339477e-24,2.63546455319984e-10,4,1,-0.466838871382323,1,1
"ENSG00000164077",0.000127844299190368,1,5,0,-0.46561122832991,1,1
"ENSG00000129654",6.2268400896618e-27,6.79941863739743e-08,3,1,0.464764605604383,1,1
"ENSG00000181852",1.78439462278083e-12,1,7,0,-0.464364423477844,1,0.5
"ENSG00000054282",1.82554126019457e-08,1.95163963317737e-06,3,1,-0.464324549426501,1,1
"ENSG00000178252",7.4732992945949e-05,0.316856168675492,6,0,-0.464198773737268,1,1
"ENSG00000156256",7.8316475667602e-13,0.280008926033761,6,0,-0.463941732136888,1,1
"ENSG00000015133",7.18844840302002e-09,1,9,0,0.463416659385434,1,0.833333333333333
"ENSG00000164162",1.59165207152805e-30,1,7,0,0.463315094273469,1,1
"ENSG00000116793",6.04209812924774e-06,0.0149871982417878,7,1,-0.462957658892717,1,1
"ENSG00000119431",5.69609131070873e-35,1,4,0,0.462923162923489,1,1
"ENSG00000104881",8.84207099932382e-14,0.00139386031725299,5,2,0.462654636321449,1,1
"ENSG00000079385",0.00363055871040393,0.767431936302822,4,0,-0.462317550092546,1,1
"ENSG00000042980",0.0010621138350824,0.927662260771166,4,0,-0.462198099282261,1,1
"ENSG00000008130",1.62982588613799e-07,0.344896879816982,7,0,-0.461670418551514,1,1
"ENSG00000083720",8.144912734795e-08,0.906817352629776,3,0,-0.459813197151747,1,1
"ENSG00000165506",9.58187213651736e-22,0.149717321246038,6,0,0.459774270669892,1,0.833333333333333
"ENSG00000113742",8.60994978388373e-06,1,7,0,-0.459584375331093,1,0.833333333333333
"ENSG00000160767",3.76041346117184e-05,0.0509705569379406,6,0,0.459180119995656,1,0.833333333333333
"ENSG00000119950",4.85275032009482e-05,0.623628083365933,6,0,0.457142191476642,1,1
"ENSG00000127952",2.51691208280922e-16,1,6,0,0.456184259171306,1,1
