"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000130702",0.000589052905104608,1,9,0,0.599998474141329,1,0.8
"ENSG00000159166",9.5390039175045e-13,1,5,0,-0.598684021659859,1,1
"ENSG00000165698",3.52454042951529e-06,1,6,0,-0.583318809614619,1,0.8
"ENSG00000183742",0.0390955656311953,1,4,0,-0.575938307224757,1,1
"ENSG00000214113",0.0292326393654134,1,5,0,-0.567985716338288,1,0.6
"ENSG00000129654",0.000183994083117606,0.0497954857344007,3,1,0.56741302011738,1,1
"ENSG00000132470",2.75313281377307e-09,1,7,0,-0.567365675092704,1,0.8
"ENSG00000280071",0.0243343818304918,1,6,0,-0.564847798971898,1,1
"ENSG00000137824",0.000581371240186143,1,4,0,0.555555555555556,0.8,0.6
"ENSG00000138744",0.000359805403930869,0.408803822288748,6,0,0.554977119743513,1,0.8
"ENSG00000107372",0.000913410536486009,0.0111827774934386,8,1,0.55387162901543,1,1
"ENSG00000178057",2.68019994977974e-08,1,6,0,-0.548018030942632,1,1
"ENSG00000127022",1.70777983859471e-06,0.00010979866962808,5,1,0.545874098612167,1,1
"ENSG00000155090",0.0156868084560424,1,3,0,-0.545111349530433,1,1
"ENSG00000115694",0.000311817647775008,1,8,0,-0.538539337454069,1,1
"ENSG00000111328",3.83150152482997e-05,1,6,0,0.538280826718543,1,1
"ENSG00000073578",1.67532294282893e-11,0.00108671751261393,6,1,-0.535729862439762,1,1
"ENSG00000140105",0.0189788456819812,1,8,0,-0.533243819346864,0.8,0.6
"ENSG00000164733",8.05604768513118e-15,1,11,0,-0.531656118255807,1,1
"ENSG00000137996",0.0373779819568898,1,6,0,-0.522498508033226,1,1
"ENSG00000156171",0.00327213961089438,1,7,0,-0.518517886207578,1,0.6
"ENSG00000178951",9.38125106287294e-09,1,6,0,-0.517214769081065,1,1
"ENSG00000134759",0.0300017021127406,1,6,0,-0.516395995429352,1,0.8
"ENSG00000188529",0.000245025581963212,0.0669091420734344,9,0,0.505555233163613,1,0.8
"ENSG00000116661",0.0027616381380311,1,3,0,0.5,1,1
"ENSG00000110274",0.0437720915099166,1,5,0,-0.499617671646905,1,1
"ENSG00000120533",5.29962268711575e-15,1,8,0,0.498193566764728,1,1
"ENSG00000092820",0.0273200664970644,0.219594193024392,4,0,-0.497288354524412,1,1
"ENSG00000175110",0.00333373262685222,0.0601105356379831,6,0,-0.49663801181423,1,1
"ENSG00000011009",0.0118996644386548,0.00708063036337509,6,1,0.488359954597333,1,1
"ENSG00000144381",5.7737958659293e-08,2.36365021237335e-06,3,1,0.485131109855062,1,1
"ENSG00000133226",3.83190568902258e-06,1,10,0,-0.48453746671005,1,1
"ENSG00000164830",0.00290804474526197,1,6,0,0.482771700387589,1,0.6
"ENSG00000093000",0.00199889603857542,1,5,0,-0.480790637607207,1,1
"ENSG00000105519",2.46971856147449e-12,5.89255868654681e-08,12,1,-0.47487535525171,1,1
"ENSG00000104529",6.5457932485212e-09,1.8234394596117e-09,6,2,-0.471448413152666,1,1
"ENSG00000158234",2.28423101717959e-09,1,10,0,0.469110198132646,1,0.8
"ENSG00000130429",3.57595953405105e-31,1.31967625184789e-21,4,1,-0.468961931963064,1,1
