"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000060138",5.68694484594741e-11,1,5,0,0.063178164586031,1,1
"ENSG00000104823",0.00137768902351938,0,2,2,0.0627251203987842,1,1
"ENSG00000072778",0.000154272006820151,1,3,0,-0.062458385016358,1,1
"ENSG00000095059",0.0405487948066582,1,3,0,0.0624487820842758,1,1
"ENSG00000220205",0.0100160980487309,1,3,0,0.0620282047440012,1,1
"ENSG00000085063",3.48131471574942e-10,1,7,0,-0.061650935307191,1,1
"ENSG00000197111",0.0456379499626896,1,5,0,0.0616157158274027,1,1
"ENSG00000104904",0.00326522988576108,0,2,2,0.0605272432437196,1,1
"ENSG00000166946",0.0188141710461943,1,3,0,-0.0600010410003813,1,1
"ENSG00000196139",1.66838896951987e-05,0,2,2,0.0588220726990168,1,1
"ENSG00000172354",0.000125857244600458,1,4,0,-0.0587684218406203,1,1
"ENSG00000101084",0.0337615260078016,1,3,0,-0.0582827663256474,1,1
"ENSG00000106211",4.69132684168497e-48,1,4,0,-0.0565745611771524,1,1
"ENSG00000172270",0.00131764377206228,1,3,0,-0.0548582423260455,1,1
"ENSG00000116171",0.0210706103606767,1,5,0,0.0535571419786975,1,1
"ENSG00000137331",0.00554488787393925,0,2,2,-0.0532875034594252,1,1
"ENSG00000087077",0.00705089297686102,1,3,0,-0.0509711197583428,1,1
"ENSG00000179010",0.000130412541856424,1,3,0,-0.0500584045350708,1,1
"ENSG00000148180",0.000112403280463914,1,6,0,0.0493735223419565,1,1
"ENSG00000162961",0.00462233194767791,1,3,0,0.045898546728677,1,1
"ENSG00000106541",0.0124486862332334,1,3,0,-0.0447567510738341,1,1
"ENSG00000170315",0.0338890250894052,0,2,2,-0.0435824137367307,1,1
"ENSG00000132341",0.000302594537402668,0,2,2,-0.0417846880599579,1,1
"ENSG00000170144",0.0210706103606767,1,4,0,-0.0382376337201862,1,1
"ENSG00000108602",0.0325551551952888,0,2,2,-0.0350954552509493,1,1
"ENSG00000187514",0.00820044251676371,0,2,2,-0.0298888950713174,1,1
"ENSG00000089157",0.0014970459646356,0,2,2,0.0290413440030901,1,1
