"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000174444",3.33926359666779e-07,2.25457719998844e-06,3,1,-0.945711807908778,1,0.8
"ENSG00000150787",3.44631651398667e-09,0.0156937325728471,4,1,0.93541633873164,0.8,0.8
"ENSG00000171490",0.000759177761254756,1,3,0,-0.935181509178428,0.8,0.6
"ENSG00000147403",1.31442445674445e-234,3.20977407031617e-54,8,2,0.929324690883488,1,1
"ENSG00000170348",5.94081255354135e-12,1,6,0,-0.926938865956401,1,0.6
"ENSG00000184209",4.82997863577428e-08,1,3,0,0.925856811667033,1,0.6
"ENSG00000198830",7.24442617482e-07,1,7,0,-0.914409533395658,1,0.6
"ENSG00000126768",3.63733521626267e-15,1,4,0,0.903711371251003,1,0.6
"ENSG00000148700",0.019667925555722,1,3,0,-0.901006357195054,1,0.6
"ENSG00000112130",0.00545830688882133,1,3,0,-0.899752583394351,0.8,0.4
"ENSG00000152082",5.3308220935278e-27,6.33361607657088e-23,4,1,0.895418889471324,1,1
"ENSG00000155957",0.000209140469598918,1,7,0,0.885710099335303,0.8,0.6
"ENSG00000166508",8.26556217974745e-07,1,5,0,-0.882352941176471,0.6,0.4
"ENSG00000100979",0.00315378085279985,1,5,0,-0.882260990933824,1,0.6
"ENSG00000245910",4.88701438554022e-09,1,4,0,-0.870573576410868,1,0.6
"ENSG00000100568",6.92214013586935e-07,0.40766127553484,5,0,0.863575667714217,1,0.8
"ENSG00000067167",9.57251853399949e-08,5.88894231506444e-07,5,1,-0.859585703866992,1,0.8
"ENSG00000251562",5.41449391423406e-54,0.913874006820547,4,0,0.858719683859904,1,1
"ENSG00000151632",8.41428955733417e-104,1,5,0,0.858260117544062,1,1
"ENSG00000103342",5.65202904816672e-05,1,3,0,0.848880841601229,1,0.6
"ENSG00000064199",0.0124720655516909,1,3,0,0.843838083614902,0.8,0.6
"ENSG00000101608",2.55702609200158e-13,9.34945144586231e-08,5,1,-0.838591832721258,1,1
"ENSG00000162896",7.13174699320048e-05,1,4,0,0.828514275209383,1,0.6
"ENSG00000070831",1.05275511176714e-17,0.249842956886262,3,0,-0.799912160512246,1,1
"ENSG00000142627",1.24418984567777e-06,1,5,0,-0.797834850497351,1,0.6
"ENSG00000177683",0.0175093466766911,1,5,0,-0.794055710660236,0.8,0.4
"ENSG00000049656",0.00952517294614485,0.053065713971987,3,0,0.790395409364821,1,0.8
"ENSG00000196754",2.12801418898169e-67,4.35054226267507e-22,5,2,0.788463598227694,1,1
"ENSG00000166275",5.39094186277657e-10,1,4,0,0.778218844422704,1,1
"ENSG00000152904",0.0303576477335092,1,4,0,0.772048922087314,1,0.6
"ENSG00000174748",8.13158548361247e-118,9.31181024337076e-08,7,1,-0.765890999559104,1,1
"ENSG00000170017",0.00645745067942406,1,4,0,0.765884503502631,0.8,0.6
"ENSG00000185567",7.78172133965557e-05,0.00680416043164306,5,1,-0.764594893047053,1,1
"ENSG00000196576",0.00205771495532168,1,8,0,0.749997892243717,0.8,0.4
"ENSG00000177570",0.0285819862171637,1,4,0,0.746046716416558,1,0.6
"ENSG00000168268",0.00792502224018042,0.00153646785165226,3,1,0.74209110637243,1,0.8
"ENSG00000117592",1.87297643500969e-45,1,3,0,-0.738259433551956,1,1
"ENSG00000113732",1.53865352090693e-29,3.04230409778495e-08,3,1,-0.7369583400481,1,1
"ENSG00000164919",5.15022698236081e-47,4.20873423840481e-46,4,2,0.735560317558155,1,1
"ENSG00000184709",0.0240286139525839,1,3,0,0.726057452067808,1,0.6
"ENSG00000185787",6.67280071186668e-07,1,9,0,0.721347165437037,1,0.6
"ENSG00000143153",3.02288471805486e-07,1,4,0,0.720009317234897,1,0.8
"ENSG00000138162",0.0159116306142409,1,5,0,-0.708344872721492,1,0.6
"ENSG00000132274",0.0159116306142409,0.0114069206208647,5,1,0.696914006726644,0.8,0.8
"ENSG00000116285",0.000398149508982144,0.0324560190823904,3,1,-0.695402872902245,1,1
"ENSG00000120256",0.000137241022292268,1,3,0,0.688103458485851,0.8,0.8
"ENSG00000186395",0.00071419259935464,0.00756031570442727,5,1,0.673702613979527,1,0.6
"ENSG00000230124",6.00369530288826e-05,1,6,0,-0.668246477460766,1,0.8
"ENSG00000056972",0.0240286139525839,1,5,0,-0.666666666666667,0.6,0.4
"ENSG00000149809",7.74534187724845e-05,1,7,0,0.663724162302862,1,0.6
"ENSG00000188603",0.0191974356570626,1,4,0,0.660102762167515,1,0.8
"ENSG00000155660",0.00157681084215732,1,5,0,0.655559292676608,1,1
"ENSG00000149084",0.0154602568565964,0.632874702842676,4,0,0.645506650105814,1,1
"ENSG00000266412",1.82698175383721e-06,1,10,0,-0.642495672931767,1,0.6
"ENSG00000060237",0.00590613924919103,1,7,0,-0.641069686449739,1,0.6
"ENSG00000198668",1.74876023628439e-31,1,8,0,0.636206210659865,1,0.6
"ENSG00000111276",0.000342351427847963,0.158102053031927,3,0,0.633791128123405,1,1
"ENSG00000158747",0.000296430110336411,0.0485772556229204,6,1,0.629795374772953,1,1
"ENSG00000090263",3.54113084253428e-11,1,8,0,-0.623217951993891,1,0.8
"ENSG00000079462",1.96371688544456e-05,0.00077352929800851,8,1,-0.614822789380027,1,0.8
"ENSG00000204711",5.76495409566934e-07,3.37825456067402e-08,6,1,0.614358178680129,1,0.8
"ENSG00000130560",1.44656391156599e-08,1,6,0,0.613538542323966,1,0.8
"ENSG00000137500",0.0166028702299899,1,7,0,0.611930242694464,0.8,0.4
"ENSG00000163399",6.01719592947856e-05,0.00521019025482307,6,1,-0.607638892018262,1,1
"ENSG00000115129",0.0339775721761078,1,9,0,-0.607141745066157,1,0.6
"ENSG00000005486",0.0465677542734647,1,6,0,-0.599995423183652,1,0.8
"ENSG00000104881",0.0301506903766653,1,4,0,-0.594738703459154,0.8,0.6
"ENSG00000092108",0.000336891582031517,1,6,0,0.586686323792838,1,0.8
"ENSG00000039068",0.0139389859821787,1,6,0,0.583332917065657,0.6,0.6
"ENSG00000149273",1.37514924699396e-18,0.0248997327682896,8,1,-0.582860249879378,1,0.8
"ENSG00000146731",0.000508403176421806,0.418086726427128,4,0,0.576573518088072,1,1
"ENSG00000113387",0.0216931969178909,0.311463230900238,6,0,-0.575437904036705,1,1
"ENSG00000168003",2.3409923179069e-10,1.49888270128884e-06,6,1,0.573051060591291,1,1
"ENSG00000150093",2.04848744581636e-10,1,5,0,0.572600885805379,1,0.8
"ENSG00000141030",0.0018738621158944,1,8,0,0.571746524768645,0.8,0.6
"ENSG00000125520",0.0125075643324067,1,6,0,-0.569878204938745,1,0.6
"ENSG00000139835",0.0311863510645376,0.00534652902840122,4,1,0.568203396055386,1,0.8
"ENSG00000004961",0.00118106226127131,1,6,0,0.565003431800586,1,0.4
"ENSG00000100129",3.54113084253428e-11,0.291426259929829,9,0,0.564183766394003,1,1
"ENSG00000172831",0.0369226924476099,1,3,0,0.563689794798772,0.8,0.8
"ENSG00000115457",1.44097110276692e-06,0.00113663775752137,6,1,-0.562543289826639,1,1
"ENSG00000257698",1.74854592880615e-05,0.00325288884508965,8,1,0.55876871016069,0.8,0.6
"ENSG00000115694",0.00897083468286669,1,8,0,-0.558139534883721,0.6,0.4
"ENSG00000169567",0.000759177761254756,1,7,0,0.5536003940994,0.8,0.8
"ENSG00000173486",7.43557442842996e-12,1.11412670994174e-08,5,1,-0.551773676069612,1,1
"ENSG00000146963",0.000278971076885885,0.151309809923217,5,0,0.545921120404954,1,0.8
"ENSG00000135363",9.53660194701306e-05,0.0326605113658709,7,1,0.541259905324767,1,0.6
"ENSG00000173801",0.0123503853761706,1,7,0,-0.539177467375922,1,0.8
"ENSG00000163435",4.83476571336534e-57,1.6087128825223e-13,5,2,0.538103144093576,1,1
"ENSG00000257103",2.74776157324753e-07,1,10,0,-0.531636977344001,1,1
"ENSG00000238142",0.0346529233867512,1,4,0,0.530824628585101,0.6,0.6
"ENSG00000169062",0.00222989402461328,1,12,0,0.528831027496817,1,0.4
"ENSG00000063854",1.49294957398736e-05,1,4,0,-0.52177893273338,1,1
"ENSG00000115084",0.0437713256806518,1,5,0,-0.52,0.6,0.6
"ENSG00000120533",5.61029758675421e-07,1,6,0,-0.513306133096773,1,0.8
"ENSG00000145779",0.00689528887062056,1,7,0,0.511950884290839,1,0.6
"ENSG00000159166",6.54630640704969e-06,1,3,0,-0.507667578566789,1,1
"ENSG00000100650",2.909862489211e-12,7.05033671843923e-07,8,1,0.506672444981669,1,1
"ENSG00000082898",9.53660194701306e-05,1,7,0,0.506022050572032,1,1
"ENSG00000138119",0.000355305215894725,1,5,0,-0.505819027811673,1,0.8
"ENSG00000165175",0.0164851404840532,0.321416670805096,4,0,-0.501150121862703,1,0.8
"ENSG00000163634",0.015559954281595,1,6,0,-0.50112243569166,1,1
"ENSG00000070423",0.0476034764516547,1,3,0,0.5,1,1
"ENSG00000176261",0.00104496551098922,1,10,0,0.499996137566657,1,0.8
"ENSG00000119431",0.0323672083409744,1,4,0,-0.49182104495861,1,0.8
"ENSG00000117394",0.000577132328631997,0.0537320418371798,7,0,-0.490473458184603,0.6,0.6
"ENSG00000166037",0.0110149144569398,0.530238124104372,6,0,0.489392814018552,1,0.6
"ENSG00000119185",0.0438075986962848,1,11,0,0.488833627666053,1,0.4
"ENSG00000120860",0.00449887545658092,1,4,0,0.484204624444984,1,1
"ENSG00000103942",0.0333085153945788,1,5,0,0.481796430173966,1,1
"ENSG00000159140",0.0451756054759676,1,8,0,-0.469325529818715,0.8,0.6
"ENSG00000101940",0.0303576477335092,1,6,0,-0.4692018902643,1,1
"ENSG00000086666",0.000738154648071833,1,10,0,0.465142153357978,1,0.6
"ENSG00000178741",5.42662050795481e-16,5.53274814573611e-10,3,1,0.463453273494955,1,1
"ENSG00000123240",9.89683560775334e-08,1,15,0,-0.461095354501926,1,0.6
"ENSG00000025708",4.1652104689161e-13,1,10,0,0.459676897564369,1,1
"ENSG00000182670",1.12952096235583e-06,1,10,0,-0.457069732065524,1,0.6
"ENSG00000072110",6.01719592947856e-05,1,7,0,-0.44813136732941,1,0.6
"ENSG00000184110",8.48819567041984e-05,1,6,0,0.446028015106543,1,1
"ENSG00000185499",0.000986780049668517,1,7,0,0.444202369144542,1,0.8
