"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_uninfected_child_Uninfected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000168310"	"ENSG00000168310"	4.97672269674221e-05	3.15871253478783e-05	4	1	-0.752203452876905	1	0.833333333333333
"ENSG00000148834"	"ENSG00000148834"	3.07359853723709e-05	0.000100952145653772	3	1	-0.332088735528301	1	1
"ENSG00000105519"	"ENSG00000105519"	3.31190824284308e-12	0.000119167854665293	6	2	-0.285222472694979	1	1
"ENSG00000117394"	"ENSG00000117394"	8.45487045337151e-10	0.000126314772674376	3	1	-0.736276187852963	1	1
"ENSG00000108654"	"ENSG00000108654"	1.39178933521844e-07	0.000321584826706033	5	1	0.22836677508667	1	1
"ENSG00000173113"	"ENSG00000173113"	0.00394381525276706	0.000450764566475566	3	2	0.238572016446437	1	1
"ENSG00000186710"	"ENSG00000186710"	0.0026517161587507	0.000495983390115652	4	1	0.536782350250185	1	1
"ENSG00000124795"	"ENSG00000124795"	0.00118627173957765	0.00058544814842701	3	1	0.749493363829016	1	0.666666666666667
"ENSG00000133265"	"ENSG00000133265"	7.03009649345011e-05	0.000737548511073973	5	1	-0.407294009429933	1	1
"ENSG00000120860"	"ENSG00000120860"	0.000800247583378718	0.000759629782890862	3	1	-0.541772130485206	1	1
"ENSG00000115310"	"ENSG00000115310"	4.1628389513045e-07	0.000810862589971392	5	1	0.344716441723256	1	1
"ENSG00000120438"	"ENSG00000120438"	4.60711002680627e-08	0.000833016272754633	3	1	0.513652747273059	1	1
"ENSG00000146701"	"ENSG00000146701"	0.000669729888248464	0.000879486841069704	3	2	-0.365075107494921	1	1
"ENSG00000065809"	"ENSG00000065809"	6.25773925636496e-05	0.000886964575178015	7	1	-0.614333106821417	1	0.833333333333333
"ENSG00000172845"	"ENSG00000172845"	0.0010176668275617	0.00102741003886325	3	1	0.627427187893252	1	0.833333333333333
"ENSG00000239672"	"ENSG00000239672"	1.31955798985594e-05	0.00116637660990817	4	1	-0.428692927009534	1	1
"ENSG00000153786"	"ENSG00000153786"	0.00640540872571606	0.00133745184896865	3	1	-0.773365719118582	1	0.666666666666667
"ENSG00000086666"	"ENSG00000086666"	8.14555415046849e-05	0.00151679230034801	7	1	-0.505016515662448	1	1
"ENSG00000129654"	"ENSG00000129654"	9.84207669158809e-08	0.00163425333132104	4	1	-0.560816172940527	1	1
"ENSG00000175110"	"ENSG00000175110"	0.00659784059375596	0.00184946130172959	5	1	0.546231805667614	1	1
"ENSG00000137699"	"ENSG00000137699"	9.11334847248747e-05	0.00197385618495309	5	1	0.529721332169397	1	1
