"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000173848"	"ENSG00000173848"	7.68473799294074e-08	4.41272464383378e-07	3	1	0.669242605580535	1	1
"ENSG00000079462"	"ENSG00000079462"	6.33852316115363e-15	4.47662165750048e-07	5	1	0.515869731034471	1	1
"ENSG00000158864"	"ENSG00000158864"	1.136104027454e-05	1.17177462843647e-06	3	2	0.340350529060857	1	1
"ENSG00000070756"	"ENSG00000070756"	5.95542464993071e-38	6.12312975862197e-06	6	1	0.312844770837009	1	1
"ENSG00000239672"	"ENSG00000239672"	9.57851167853041e-08	9.77275081107465e-06	3	1	0.463271941760572	1	1
"ENSG00000158747"	"ENSG00000158747"	1.29470178103117e-11	9.88308334342016e-06	4	1	0.71530309584809	1	1
"ENSG00000116285"	"ENSG00000116285"	7.42730454734361e-10	1.52830313746725e-05	3	1	-0.512806821589778	1	1
"ENSG00000160789"	"ENSG00000160789"	7.13847922290981e-06	2.11706151631493e-05	3	1	-0.385899584121246	1	1
"ENSG00000163584"	"ENSG00000163584"	1.61169309314537e-06	2.45316516746349e-05	4	1	-0.37401321030799	1	1
"ENSG00000182196"	"ENSG00000182196"	6.33852316115363e-15	2.95165515893787e-05	4	1	0.463568865725506	1	1
"ENSG00000117525"	"ENSG00000117525"	2.01168996603029e-18	3.62332209023963e-05	4	1	0.197855559522541	1	1
"ENSG00000241468"	"ENSG00000241468"	4.22634287616651e-29	3.80125975002261e-05	3	1	-0.430088174246253	1	1
"ENSG00000164144"	"ENSG00000164144"	0.00103934072940914	5.05293977566734e-05	6	1	-0.539932437198245	1	0.833333333333333
"ENSG00000115561"	"ENSG00000115561"	4.10643776078897e-07	6.84241129689848e-05	3	1	-0.36559125700163	1	1
"ENSG00000057663"	"ENSG00000057663"	4.94821481940198e-05	7.21215096223683e-05	7	1	-0.648154679714033	1	0.666666666666667
"ENSG00000143977"	"ENSG00000143977"	0.00049867037859369	8.17990853942912e-05	3	2	0.283645459261479	1	1
"ENSG00000177989"	"ENSG00000177989"	1.15552480249725e-06	9.35167525759664e-05	12	1	0.30952037840423	1	1
"ENSG00000021355"	"ENSG00000021355"	5.67092437292973e-15	9.65523934772367e-05	4	1	-0.70360847530949	1	0.833333333333333
"ENSG00000258289"	"ENSG00000258289"	0.00108474742035194	0.000111344525045449	4	2	-0.549298788187459	1	1
"ENSG00000132356"	"ENSG00000132356"	0.000155113531738404	0.000113883919335234	3	1	0.726442094671272	1	1
"ENSG00000023191"	"ENSG00000023191"	0.000382096284869688	0.000116376336151674	5	2	-0.29280105097249	1	1
"ENSG00000160213"	"ENSG00000160213"	8.98116013120127e-05	0.000118326413922308	3	1	0.261446407445014	1	1
