"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000107959",1.31473135174471e-05,1,3,0,-0.763104216767177,1,0.666666666666667
"ENSG00000152904",4.60569436891291e-17,1,6,0,0.761437682702586,1,0.666666666666667
"ENSG00000178252",0.0223447613424838,0.00566616132680662,4,1,0.760626934059618,0.833333333333333,0.666666666666667
"ENSG00000180900",0.000321110036217288,1,4,0,0.760303800457844,1,0.666666666666667
"ENSG00000122882",2.45984188433558e-06,1,5,0,0.757388178702799,1,0.5
"ENSG00000146373",0.000297128806880275,1,3,0,-0.756082350790967,1,0.833333333333333
"ENSG00000130202",2.28201328899863e-24,0.102802424767395,4,0,-0.751075720719757,1,1
"ENSG00000185860",9.40080592970589e-07,1,5,0,0.749982791785998,1,0.5
"ENSG00000134759",6.35322035293149e-08,0.902483963515778,6,0,-0.749267587711116,1,0.666666666666667
"ENSG00000103342",4.00597159307022e-08,0.000107182851238332,4,1,-0.749242620629537,1,0.833333333333333
"ENSG00000100129",6.48838591686477e-67,5.34124724145979e-15,4,1,0.747849888738791,1,1
"ENSG00000164934",4.73917831525458e-25,0.0760516106202469,4,0,-0.74766409574416,1,1
"ENSG00000129657",1.76734413859935e-18,1,6,0,-0.747572929125521,1,0.833333333333333
"ENSG00000130254",1.57451944341958e-11,6.63025802661483e-10,5,1,-0.746784028885369,1,0.833333333333333
"ENSG00000163714",3.66289084999587e-11,0.997864343271117,5,0,0.742863233953908,1,0.833333333333333
"ENSG00000260916",1.65280398280629e-16,1.4274099104003e-11,4,1,-0.742742724751593,1,0.833333333333333
"ENSG00000055147",0.00906911430143371,1,3,0,-0.742525997350293,1,0.666666666666667
"ENSG00000123908",0.0169573886862479,1,4,0,-0.742511107504504,0.833333333333333,0.5
"ENSG00000152558",1.54534652117127e-21,0.00369036851826294,3,1,0.741641908123192,1,1
"ENSG00000164751",2.19350575999334e-05,1,6,0,0.741435620471806,1,0.666666666666667
"ENSG00000067167",7.82412422282947e-22,0.198477570253104,4,0,-0.739556607155066,1,1
"ENSG00000162599",0.010262766530926,0.931800759867004,3,0,0.739497495542261,0.833333333333333,0.666666666666667
"ENSG00000131375",4.88136142509816e-10,1,6,0,0.73848083864276,1,0.833333333333333
"ENSG00000133243",0.00120415124941024,1,4,0,-0.73734609724668,1,0.833333333333333
"ENSG00000174227",0.00361991250891549,1,5,0,-0.735552223935223,1,0.5
"ENSG00000167699",5.67257902686658e-12,1,4,0,-0.735129324751757,1,1
"ENSG00000142627",4.19747407226509e-23,1,4,0,-0.734840145981886,1,1
"ENSG00000065618",2.99948719778865e-15,1,7,0,-0.733524631594858,1,0.5
"ENSG00000143353",9.17800976066585e-20,1.51354477993072e-05,7,1,-0.733035921888516,1,1
"ENSG00000123352",0.00200808647110982,1,3,0,-0.731655126287261,1,0.666666666666667
"ENSG00000159625",0.00366655071639032,1,3,0,0.72883069579751,1,0.5
"ENSG00000178950",0.0428174501489496,0.0142269141231096,4,1,-0.728569853344498,0.833333333333333,0.666666666666667
"ENSG00000124074",3.41330465468963e-10,0.0520842499896277,3,0,0.727248550436476,1,1
"ENSG00000100842",0.0079997613140196,1,4,0,-0.725482309034551,1,0.666666666666667
"ENSG00000147010",4.97766542682838e-05,0.0259798667558304,4,1,-0.722664306262123,1,0.666666666666667
"ENSG00000143393",1.31079812703038e-06,1,5,0,-0.722222009600126,1,1
"ENSG00000140105",5.72817706158109e-11,1,8,0,0.719553652319824,1,0.666666666666667
"ENSG00000082212",5.24103245109475e-05,1,5,0,-0.719016191251453,1,0.5
"ENSG00000172809",1.72769393113288e-12,1.35668353021217e-14,6,2,0.714327950661509,1,1
"ENSG00000119537",7.53672536062597e-09,0.523757629180719,5,0,0.713990338695341,1,0.5
"ENSG00000101782",1.13147898035061e-12,0.15441667846267,4,0,-0.713597969678972,1,0.833333333333333
"ENSG00000198408",0.00149106584735928,1,4,0,0.713095998232905,1,0.666666666666667
"ENSG00000126106",0.00156307723121265,0.0055429054765486,3,1,-0.712363582829991,1,0.833333333333333
"ENSG00000186812",0.000122058195501362,0.258148095165015,4,0,-0.711861600285348,1,1
"ENSG00000129128",2.32427468486807e-14,0.0119559286370029,3,1,-0.711086125310446,1,1
"ENSG00000164830",4.58971056356097e-11,1,5,0,0.709405074863956,1,0.833333333333333
"ENSG00000117523",1.63355350858187e-08,0.000539150552776527,5,2,-0.708332890825528,1,0.833333333333333
"ENSG00000090776",8.56028293671671e-08,0.865351908956554,3,0,0.708010747986537,1,1
"ENSG00000155363",0.000981689114939472,1,4,0,-0.706879858685696,0.833333333333333,0.666666666666667
"ENSG00000041357",1.08291933867647e-25,8.10438837548942e-09,5,2,0.706668685300403,1,1
"ENSG00000103326",8.87739750689585e-07,1,3,0,-0.706408977101988,1,0.833333333333333
"ENSG00000167986",9.66079398944939e-23,0.012836111397484,6,1,-0.705881951063832,1,0.666666666666667
"ENSG00000049449",1.1029767090889e-15,1.46295431833368e-07,4,1,0.705881002588353,1,1
"ENSG00000117394",1.04328660909525e-17,7.63950422610769e-14,3,1,-0.705595081519916,1,1
"ENSG00000149196",3.16719819815909e-26,0.00129130182214286,3,1,0.701026388131865,1,1
"ENSG00000171603",1.43553517008335e-06,1,4,0,-0.695882689081128,1,0.833333333333333
"ENSG00000155066",3.21060719993561e-07,4.44834390401242e-05,4,1,-0.695018097253005,1,1
"ENSG00000105397",0.00516734441461772,1,4,0,-0.692176089055632,1,0.666666666666667
