"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000104388",2.25025028602555e-14,0.00269599699950379,4,1,-0.977913250573425,1,0.666666666666667
"ENSG00000198830",4.33710731938063e-33,0.0115590342822444,6,1,-0.975227152835701,1,0.666666666666667
"ENSG00000149809",2.03280586869673e-23,0.258294519135597,3,0,0.963723697961764,1,0.666666666666667
"ENSG00000160087",5.08455634648596e-19,1,4,0,-0.95238095237838,1,0.666666666666667
"ENSG00000150787",2.02787112425128e-10,1,4,0,0.942153245344418,1,0.833333333333333
"ENSG00000183172",2.70356445169589e-09,3.34609416118008e-05,4,1,-0.941058715041823,1,0.666666666666667
"ENSG00000064199",0.00126579781970619,0.004308952566364,3,1,0.937768804703585,0.833333333333333,0.5
"ENSG00000147403",1.0402007103806e-156,8.20601991777173e-38,6,2,0.925491240162465,1,1
"ENSG00000111639",3.03104833688954e-61,1,4,0,0.920512138783805,1,1
"ENSG00000175287",4.05221953686039e-09,1,7,0,-0.914388825796645,1,0.5
"ENSG00000162896",9.67324974567692e-26,1,4,0,-0.902370874539261,1,0.833333333333333
"ENSG00000166130",0.00037443677189047,1,3,0,0.901719264074612,1,0.5
"ENSG00000229809",1.75528891572179e-13,1,5,0,-0.896521248244222,1,0.5
"ENSG00000144028",1.35471042421728e-12,0.0110483544494421,4,1,0.888810884899794,1,0.666666666666667
"ENSG00000115084",5.26210854522214e-06,1,3,0,0.885302350876654,1,0.5
"ENSG00000152894",1.466425576835e-06,1,4,0,-0.884471565448829,1,0.666666666666667
"ENSG00000105568",5.65273361444461e-16,1,4,0,-0.883982861888977,1,0.5
"ENSG00000251562",7.87205343034813e-63,1,4,0,0.878414850797477,1,0.833333333333333
"ENSG00000171490",1.400842812011e-11,1,4,0,-0.867089087077452,1,0.833333333333333
"ENSG00000137692",2.60682968742673e-13,1,5,0,-0.862748458369599,1,0.833333333333333
"ENSG00000146072",1.2843576175217e-07,1.78853954293441e-08,3,1,-0.857568137805804,0.833333333333333,0.666666666666667
"ENSG00000113407",0.00271407238000138,1,3,0,0.856610513536688,0.833333333333333,0.5
"ENSG00000188959",0.000168600670784853,0.589795151187535,4,0,-0.854131343814532,0.833333333333333,0.666666666666667
"ENSG00000040341",6.19483319278744e-05,1,3,0,-0.852209036857637,0.833333333333333,0.666666666666667
"ENSG00000172845",0.000826523127517643,0.204026417417493,4,0,0.841617133533127,1,0.5
"ENSG00000174748",6.75689535387461e-289,1.38493260155228e-19,5,1,-0.840223185817579,1,1
"ENSG00000196505",0.00794613618760916,1,3,0,0.830597876667629,0.833333333333333,0.5
"ENSG00000101109",0.000865696754002604,0.00651852337636737,3,1,-0.829740930148238,1,0.666666666666667
"ENSG00000166508",1.21299158234869e-06,1,4,0,0.829715759536234,0.833333333333333,0.666666666666667
"ENSG00000101782",5.18511682251628e-05,1,4,0,-0.829069591054205,0.833333333333333,0.5
