"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Deuterosomal_uninfected_child_Uninfected-Deuterosomal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000122026",1.75141260157913e-13,1.61848302685723e-06,3,1,-0.369712247964185,1,1
"ENSG00000243955",0.000383225807145963,0.0320150575255905,4,1,0.367866047148881,1,1
"ENSG00000144848",0.023245103691055,1,3,0,0.366102832997447,1,1
"ENSG00000139644",0.0338110497140502,1,5,0,0.357142668700164,1,1
"ENSG00000173272",0.0231982047608513,1,5,0,0.333333655809876,1,1
"ENSG00000166710",1.54409535999488e-12,1,9,0,-0.32500012427671,0.8,0.8
"ENSG00000189403",1.13500882664689e-11,1,6,0,0.318955605265819,1,1
"ENSG00000206503",0.018255039971169,0.122216343051451,6,0,0.315606700451028,1,1
"ENSG00000130066",2.83071455630759e-25,4.04383390666233e-20,5,1,0.309367557980674,1,1
"ENSG00000110321",0.00619691554524626,1,9,0,0.302127242895467,1,0.8
"ENSG00000100129",0.000465745887328827,1,8,0,-0.299999683909897,1,1
"ENSG00000136810",5.55445571933594e-18,0.0824939288127884,4,0,0.295940744177968,1,1
"ENSG00000162496",0.00290127056171785,1,11,0,0.290837873334007,1,1
"ENSG00000099849",0.0220645487855822,1,12,0,-0.281479178437906,1,1
"ENSG00000197956",3.11372448353382e-61,1,3,0,0.278993924016968,1,1
"ENSG00000243836",0.0291704879337695,1,6,0,-0.265624930012176,1,1
"ENSG00000102854",0.0163054257173642,1,16,0,0.263845781936364,1,1
"ENSG00000113712",0.000193899716304723,1,18,0,-0.239921915645171,1,0.8
"ENSG00000115310",0.00183524963212721,1,6,0,-0.232231009429018,1,1
"ENSG00000213719",0.00302930839135541,0.000488873555667658,6,1,-0.227863160111207,1,1
"ENSG00000116209",9.59952624111724e-14,1.01769191007366e-08,5,1,0.224845165648662,1,1
"ENSG00000138326",1.86404590390421e-10,1.92839104203949e-09,4,1,0.213009534504116,1,1
"ENSG00000163463",0.018255039971169,1,3,0,0.192581559262525,1,1
"ENSG00000189143",6.35231600669869e-08,1,3,0,0.181887165231943,1,1
"ENSG00000068697",0.0335946287600348,0.254316234507153,3,0,-0.176608236786788,1,1
"ENSG00000101940",0.0280670105922808,1,6,0,-0.169362812951795,1,1
"ENSG00000102316",0.00941320798343972,1,8,0,0.160715991443941,1,1
"ENSG00000161203",0.0135697822160146,1,5,0,0.159202230839888,1,1
"ENSG00000148180",0.0116391723928249,1,7,0,-0.153499636208358,1,1
"ENSG00000147403",0.0338110497140502,1,9,0,-0.152849664723324,1,1
"ENSG00000154723",0.0481148597143584,1,10,0,-0.152025865752368,1,1
"ENSG00000143222",1.26011161739467e-09,1,4,0,-0.14293420546639,1,1
"ENSG00000160188",0.0100967721603711,1,4,0,-0.132020572994246,1,1
"ENSG00000123416",0.00302609636874382,1,3,0,0.124389553914509,1,1
"ENSG00000198643",0.028715680795248,1,4,0,0.121851674201886,1,1
"ENSG00000170421",0.000199015344928809,1,4,0,-0.102452770079615,1,1
"ENSG00000075624",5.79707744480052e-05,1,4,0,-0.100356065178995,1,1
"ENSG00000108654",8.44809398523529e-06,1,10,0,0.0979119359045514,1,1
"ENSG00000143819",0.00905833119041599,1,6,0,-0.0770284397147917,1,1
"ENSG00000167552",0.00174363176783651,1,3,0,-0.0695697675047191,1,1
"ENSG00000143933",0.0340045025998563,1,6,0,-0.0615248503911581,1,1
"ENSG00000185043",0.00167042688119202,1,4,0,0.0593621963551698,1,1
"ENSG00000128422",0.000205442041079438,1,3,0,0.0451043598208414,1,1
