"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000214160",4.05577073792543e-14,1,4,0,-0.26049543484996,1,1
"ENSG00000103353",0.0083980016026003,0.510007921785263,3,0,0.260370487626269,1,1
"ENSG00000141002",6.60826385180417e-35,0.0112352394436681,7,1,0.26015514354285,1,1
"ENSG00000156171",7.55935506876988e-05,0.0166954734550643,6,1,0.259415651326526,1,1
"ENSG00000141298",1.38876921069774e-06,0.000273154241832873,5,2,0.259215490962551,1,1
"ENSG00000206573",1.97344052445628e-09,1,10,0,-0.258701978957895,1,1
"ENSG00000188603",7.20862983274895e-10,0.00397802929271617,4,1,0.258583867201017,1,1
"ENSG00000204580",3.63363847946456e-46,1,11,0,-0.258555173125469,1,1
"ENSG00000246067",1.49106234584312e-08,1,7,0,0.258304281935084,1,1
"ENSG00000135541",0.012973383783759,0.243874167849014,4,0,-0.258002294409865,1,1
"ENSG00000100138",2.25273168733489e-29,1,5,0,-0.257675559984486,1,1
"ENSG00000170412",3.34353889606633e-11,1,7,0,0.257235583096162,1,1
"ENSG00000105676",0.00362853399725887,1,4,0,0.257149241754592,1,1
"ENSG00000112110",2.03031428947515e-24,1,3,0,-0.256886392817034,1,1
"ENSG00000109065",0.00039287672069397,0.345514987132094,4,0,-0.256825375973592,1,1
"ENSG00000130821",0.0493316103943618,0.579708534237934,3,0,-0.25596649818445,1,1
"ENSG00000141127",0.000421106298403486,0.684488801218337,8,0,-0.255691911512376,1,1
"ENSG00000130772",0.000432902420932712,1,3,0,-0.255652758672257,1,1
"ENSG00000138495",2.2236254609915e-20,5.5115729665016e-16,3,1,0.255075759631478,1,1
"ENSG00000104413",1.45514648363968e-05,1,5,0,0.254881758695754,1,1
"ENSG00000274265",6.39350931760969e-13,1,8,0,0.254710858162408,1,1
"ENSG00000147533",0.000311618761342145,0.173249605599043,3,0,-0.254241057580444,1,1
"ENSG00000130844",0.0386252725608291,0.847124177816767,3,0,0.25350639570754,1,1
"ENSG00000144401",0.00958261190833027,1,6,0,-0.253226490176663,1,0.833333333333333
"ENSG00000142046",1.1157938160391e-07,0.260304680956302,13,0,-0.253206142896794,1,1
"ENSG00000115514",7.00794336734202e-10,0.000185583150850529,3,1,-0.253084698995008,1,1
"ENSG00000214046",4.54920293666924e-11,0.0023399078315202,6,1,0.252756992347633,1,1
"ENSG00000204536",3.4919609196487e-05,0.7949934803676,5,0,-0.252571436399877,1,1
"ENSG00000181038",5.56578916419708e-21,1,10,0,0.252327890109067,1,1
"ENSG00000104611",1.63158166356099e-19,0.0191640807293578,7,1,0.252247523617057,1,1
"ENSG00000113163",8.28596753329858e-07,0.000735581262566804,5,2,-0.252061250522717,1,1
"ENSG00000151023",1.53844253022295e-07,0.00839853917946687,3,1,-0.251569669148805,1,1
"ENSG00000174720",9.21876976010605e-25,1,9,0,-0.25142861166408,1,1
"ENSG00000175756",4.80207580327571e-14,3.31365593469022e-09,5,2,0.25123160738797,1,1
"ENSG00000133943",4.55196675352372e-05,1,12,0,-0.250912651060497,1,1
"ENSG00000035115",1.07375994069585e-13,1,6,0,0.250597742515923,1,1
"ENSG00000164828",0.0222137825719912,1,5,0,-0.250449039367512,1,1
"ENSG00000160753",3.52046863280704e-17,1,11,0,-0.250358988067314,1,1
"ENSG00000100416",0.010661322559658,1,6,0,0.250340636178544,1,0.833333333333333
"ENSG00000174943",0.00111335158671341,0.292656878162731,4,0,-0.250277334663279,1,1
"ENSG00000100266",0.000225990123024262,1,5,0,-0.25,1,1
"ENSG00000112701",9.26903758215193e-08,1,5,0,-0.249999426109272,1,1
"ENSG00000087365",0.0190089970410386,0.329952225106149,7,0,-0.249885692380714,1,0.833333333333333
"ENSG00000073578",3.61840632448643e-13,1,5,0,-0.249764864849654,1,1
"ENSG00000197956",0,1,3,0,-0.249693846920356,1,1
"ENSG00000165819",0.000675020495693284,1,5,0,-0.249439756833487,1,1
"ENSG00000092621",0.00276882066300957,0.00054710435760694,3,2,0.248697345819783,1,1
"ENSG00000197119",6.3124422711318e-10,0.0672569299765719,7,0,-0.248663022759329,1,1
"ENSG00000154059",0.00876835622762299,0.379156419962395,4,0,0.248453877990825,1,1
"ENSG00000176532",6.97565495997642e-13,1,4,0,-0.248070048139468,1,1
"ENSG00000166164",9.95748463446220e-12,0.144617808839047,5,0,0.247898569527441,1,1
"ENSG00000089335",0.00011646052778526,0.0596005479349238,7,0,0.247299839711706,1,1
"ENSG00000133597",0.0330717768408636,0.00855641909289119,3,1,0.24723730134732,1,1
"ENSG00000265190",1.88384528233376e-20,1,4,0,0.246768190743147,1,1
"ENSG00000162542",0.012091088597855,1,4,0,-0.246406524773584,1,1
"ENSG00000213563",1.51102487410455e-07,0.0048351697161137,4,1,0.246227747628607,1,1
"ENSG00000104320",0.00447136160932435,0.0622548843857374,3,0,0.246055733944377,1,1
"ENSG00000082438",5.68597128487603e-08,0.0473089261041387,7,1,0.245998529785524,1,1
"ENSG00000013275",2.24216611989901e-15,0,2,2,0.245897898125376,1,1
"ENSG00000010626",0.00436932866660783,0.0987128028349382,8,0,-0.245231767529787,1,1
"ENSG00000116754",9.87778851941643e-47,1,9,0,0.245034081156767,1,1
"ENSG00000064666",4.67841559879003e-05,0.222249026884808,4,0,-0.244830247415078,1,1
"ENSG00000088726",2.44288303257258e-07,0.00176789632813313,6,3,-0.24481473712755,1,1
"ENSG00000185338",0.00721868162798669,0,2,2,0.244465421950037,1,1
"ENSG00000168994",0.00893729730443484,0.0861290303947377,4,0,0.244435170573262,1,1
"ENSG00000198355",2.06349898285976e-24,2.76133267180628e-10,4,1,0.244380187101749,1,1
"ENSG00000180098",0.00398566187381994,0.00269853509006865,6,1,0.244318568074602,1,1
"ENSG00000084764",4.83022143856638e-07,0.162310094803378,8,0,-0.244209898042766,1,1
"ENSG00000112312",0.00913205396581864,0.00212916280995435,3,2,-0.244123706728257,1,1
"ENSG00000106305",4.01992806937546e-15,1,3,0,-0.24318118109696,1,1
"ENSG00000141698",3.31809612669039e-11,0.207219383657744,6,0,0.242467864589613,1,1
"ENSG00000137312",2.62668014202461e-08,0.0446499563656088,3,1,0.2423685871349,1,1
"ENSG00000166012",1.99727878168716e-07,1,6,0,-0.24202331326827,1,1
"ENSG00000105289",0.000148434115987621,0.201546036776932,4,0,-0.241447022441738,1,1
"ENSG00000176731",1.3649634545977e-07,5.42409571673971e-08,3,2,0.241255572150982,1,1
"ENSG00000114209",3.18679963793794e-08,0.000146550461955828,4,1,0.241209321191166,1,1
"ENSG00000147676",1.21214326599528e-07,6.61335577470414e-08,3,2,0.241145854096536,1,1
"ENSG00000119537",0.00142758697857088,0.0039340642170501,3,1,-0.241005119212446,1,1
"ENSG00000100429",0.000686442413448949,0.384718665093037,6,0,-0.240806095329644,1,1
"ENSG00000072401",0.0421758629835894,0.0103905406924268,3,2,0.240741116217719,1,1
"ENSG00000123159",3.19873802997914e-61,1,9,0,-0.240740889745509,1,1
"ENSG00000140995",0.000329342310792213,0.0131125475160739,3,1,0.240730322648814,1,1
"ENSG00000105327",0.00583913518716507,0.409024566673434,3,0,0.240724631872917,1,1
"ENSG00000151287",0.0403692461503515,0.0121353050553406,4,1,-0.240524552581951,1,1
"ENSG00000068903",6.65749838436193e-05,0.801773658993408,4,0,-0.240518671850559,1,1
"ENSG00000121749",0.00665078359175773,1,5,0,-0.240375328809805,1,1
"ENSG00000167881",0.0496157355658194,0.172173361241647,4,0,-0.240092713409482,1,1
"ENSG00000172465",0.0454303886457993,0.26478587318014,3,0,0.240033496052874,1,1
"ENSG00000114544",0.000343640459792109,1,5,0,0.239704229163364,1,1
"ENSG00000137193",0.000268470410185771,1,3,0,-0.239295134392092,1,1
"ENSG00000160439",6.56071805315901e-07,1,6,0,-0.239227314661893,1,1
"ENSG00000149182",9.56920635651031e-08,1,10,0,0.239173644135082,1,1
"ENSG00000111331",0.0147529371766717,0.0404201565897539,3,1,-0.23878191643455,1,1
"ENSG00000166260",0.0389607020015239,0.130091375125314,5,0,-0.238769799141628,1,1
"ENSG00000198498",0.00251230745748771,1,4,0,-0.238097676445003,1,1
"ENSG00000072210",1.8019278001162e-48,1,9,0,0.237662607548932,1,1
"ENSG00000105258",1.06899790477077e-16,1.66913200250917e-15,3,1,0.237123213646108,1,1
"ENSG00000143622",0.00412824820259961,0.105411971958028,6,0,0.237105419325541,1,1
"ENSG00000146733",0.000575513824289538,1,5,0,-0.236870407504046,1,1
"ENSG00000189403",1.11678156421303e-134,1,6,0,0.236799412594156,1,1
