"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_adult_Infected-Secretory_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000186081",1.75839902163085e-29,0,2,2,0.0872516552665663,1,1
"ENSG00000131100",0.000101886077718342,1,3,0,0.0870421995175484,1,1
"ENSG00000137818",0.00427935140581167,0,2,2,0.0860267086297264,1,1
"ENSG00000172270",0.000372442641257468,0,2,2,-0.0858589173653389,1,1
"ENSG00000106211",7.69057407789036e-48,1,4,0,-0.0858471680710478,1,1
"ENSG00000096080",0.0421693963905763,1,3,0,0.0852671531347302,1,1
"ENSG00000100321",0.013703847847048,1,3,0,0.0849661550486833,1,1
"ENSG00000138071",0.0364402504390197,1,3,0,0.0846858855819179,1,1
"ENSG00000169714",0.000259965695942762,1,5,0,-0.0844800483801612,1,1
"ENSG00000100519",0.000597891399471612,1,3,0,-0.0837858622572838,1,1
"ENSG00000085231",9.64502220229191e-05,1,4,0,0.0835586293395969,1,1
"ENSG00000010626",0.0126703362699064,1,7,0,0.0833333206895772,1,1
"ENSG00000174564",0.0272554992518964,0,2,2,-0.0830671029676469,1,1
"ENSG00000198074",3.70010885121702e-10,1,4,0,0.0819295436089343,1,1
"ENSG00000143771",0.0106264696140683,1,3,0,0.0818914222927261,1,1
"ENSG00000165609",0.00141045047906,0,2,2,-0.0818532275261714,1,1
"ENSG00000145491",0.0417901710686218,0,2,2,-0.0818072178934964,1,1
"ENSG00000144451",0.000319694375251911,1,3,0,-0.0817538224904103,1,1
"ENSG00000161677",0.0010423628132358,1,4,0,-0.081359327951988,1,1
"ENSG00000060971",0.000203342952651809,1,3,0,-0.0811366186716375,1,1
"ENSG00000169314",0.00694277580517514,1,6,0,-0.0800157313296711,1,1
"ENSG00000099622",0.000239992429111834,0,2,2,-0.0797833522520932,1,1
"ENSG00000136689",0.0418527387834832,0,2,2,0.0797055986928843,1,1
"ENSG00000161016",0.0228718832870889,1,5,0,-0.0796574989620079,1,1
"ENSG00000109016",0.0174561286422765,1,4,0,0.0791719636787468,1,1
"ENSG00000101150",0.0127302568933738,1,4,0,-0.0789477149677107,1,1
"ENSG00000090263",0.0183506135056054,1,3,0,-0.078368761442486,1,1
"ENSG00000143761",3.1543159900959e-05,1,3,0,0.0782491274803168,1,1
"ENSG00000160932",0.00354479602312701,0,2,2,0.0777993482010321,1,1
"ENSG00000166136",7.71753156748457e-20,1,4,0,-0.0777756110033523,1,1
"ENSG00000179902",0.0356480190218025,1,3,0,0.0772762815294538,1,1
"ENSG00000122378",0.00449622052846147,1,5,0,0.0771796705166543,1,1
"ENSG00000100711",9.95847836831522e-05,1,3,0,-0.0771212490948743,1,1
"ENSG00000198242",4.72494995903639e-06,1,3,0,-0.0769252991583435,1,1
"ENSG00000243836",0.00145726500760044,1,3,0,0.0768842517993822,1,1
"ENSG00000132323",0.00492926667220804,1,3,0,0.0767467470279332,1,1
"ENSG00000183172",0.0167272966465788,1,3,0,0.0767339455989451,1,1
"ENSG00000185885",0.0130640491984285,0,2,2,0.0765466060232961,1,1
"ENSG00000128422",5.28055214844016e-122,1,3,0,-0.0765402879022912,1,1
"ENSG00000182899",0.00457632142226041,1,5,0,-0.0758595090705458,1,1
"ENSG00000244687",0.0271339249176799,1,7,0,0.0756198363397567,1,1
"ENSG00000173113",0.0044213794005966,0,2,2,-0.0755917221935716,1,1
"ENSG00000120727",0.0138046449088097,1,3,0,-0.07550854280449,1,1
"ENSG00000104852",1.80562265015961e-08,1,6,0,-0.0753545318001652,1,1
"ENSG00000157045",0.00908809144506753,1,4,0,-0.0750000000000001,1,1
"ENSG00000110921",0.0330973431209034,1,7,0,-0.0748484655581864,1,1
"ENSG00000109062",8.22300075754931e-06,1,3,0,-0.0746296021975516,1,1
"ENSG00000131876",0.00310287803533259,1,3,0,-0.0746001381175712,1,1
"ENSG00000118523",3.91470103020857e-09,1,3,0,-0.0742516927631113,1,1
"ENSG00000157954",0.0233746583405343,1,9,0,0.0737699377672604,1,1
"ENSG00000167757",0.0302748581324091,1,5,0,-0.0733777507266283,1,1
"ENSG00000140319",4.88331527802574e-05,0,2,2,0.072918101444426,1,1
"ENSG00000069011",6.12795913740772e-08,1,5,0,-0.0727709113285976,1,1
"ENSG00000072778",5.79657867313061e-10,1,4,0,-0.0720406942165229,1,1
"ENSG00000140395",0.0231888385876689,1,3,0,-0.0703602027464052,1,1
"ENSG00000169242",0.0241247920313216,0.776117598712506,3,0,-0.0698547640740154,1,1
"ENSG00000148926",0.0497229779511038,1,4,0,-0.0695841196534499,1,1
"ENSG00000187244",0.00664299163596399,0,2,2,-0.0694030986425406,1,1
"ENSG00000167858",0.0325397692837991,1,3,0,-0.0691870154856621,1,1
"ENSG00000241685",0.00111156014038875,1,3,0,-0.0687325886356253,1,1
"ENSG00000166946",0.0198513240546466,1,4,0,0.0682995913478107,1,1
"ENSG00000164182",0.0248629590568419,1,4,0,0.0679534548772465,1,1
"ENSG00000110200",0.000947571896073274,1,6,0,-0.0678261990025255,1,1
"ENSG00000165474",0.0131069093205269,0,2,2,0.0677895632485132,1,1
"ENSG00000175334",0.000229572447246701,1,5,0,-0.0677656157182895,1,1
"ENSG00000181038",0.0457159423427098,1,10,0,-0.0670116503096752,1,1
"ENSG00000179262",1.18060956470009e-06,1,3,0,0.0665526094742416,1,1
"ENSG00000143819",4.05033817180041e-31,1,3,0,0.0658758436170254,1,1
"ENSG00000147419",0.0168819708877094,1,5,0,0.0658441862564648,1,1
"ENSG00000241343",7.76392713889871e-09,0,2,2,0.0657363856385574,1,1
"ENSG00000160188",1.93017875181191e-08,1,4,0,-0.0650221198743427,1,1
"ENSG00000087842",0.00997472662984356,1,4,0,-0.0648613583620194,1,1
"ENSG00000196139",2.63509503971227e-09,0,2,2,-0.0648095531371741,1,1
"ENSG00000013306",0.000351065819036408,1,3,0,0.0646545333766047,1,1
"ENSG00000176209",0.000114029653615579,1,6,0,-0.064309363474064,1,1
"ENSG00000126457",3.87131237707226e-06,1,3,0,-0.064088903759544,1,1
"ENSG00000113648",2.8436435721061e-05,1,7,0,-0.0637606715141061,1,1
"ENSG00000167644",0.00277248505819447,0,2,2,0.0634083100109532,1,1
"ENSG00000075142",0.0460965890758545,1,3,0,0.0630291759131397,1,1
"ENSG00000183207",0.000478426147634227,1,5,0,0.0625986691463491,1,1
"ENSG00000138326",2.45218001544873e-23,1,4,0,0.0588929772926795,1,1
"ENSG00000137331",0.000325617638472664,0,2,2,-0.0588191423472405,1,1
"ENSG00000125458",0.0211259825042113,0,2,2,0.0586318326938945,1,1
"ENSG00000198356",0.00326759888694419,1,3,0,0.0580698500672161,1,1
"ENSG00000120129",1.84351446526147e-06,0,2,2,0.0578978466257532,1,1
"ENSG00000104823",1.01541696422766e-06,0,2,2,-0.057832616754398,1,1
"ENSG00000109854",0.0343116415396047,1,3,0,-0.0576905405934255,1,1
"ENSG00000177674",0.00422331357993672,1,3,0,0.0561740299682127,1,1
"ENSG00000104325",0.00223805793807439,1,3,0,-0.0557751958289571,1,1
"ENSG00000149573",0.036023925219136,1,5,0,-0.0553996024184009,1,1
"ENSG00000132386",0.00655422548516948,1,3,0,-0.0553332725867263,1,1
"ENSG00000187514",9.67145197593182e-23,0,2,2,0.055003943524939,1,1
"ENSG00000138663",0.034647760762831,1,3,0,-0.0540431142100279,1,1
"ENSG00000196754",1.77098953911639e-05,1,4,0,0.0532545395086681,1,1
"ENSG00000132475",1.45997344013745e-05,1,3,0,-0.0523156865481307,1,1
"ENSG00000135404",0.0312299572356068,1,3,0,0.0523068032523194,1,1
"ENSG00000074071",9.61449174102302e-10,1,4,0,-0.0522196378437607,1,1
"ENSG00000143222",0.00678325192651877,1,3,0,-0.0521772453993646,1,1
"ENSG00000130066",6.3383773226213e-05,1,4,0,-0.0517102386637397,1,1
"ENSG00000177426",0.0244710650230663,1,7,0,0.0513258305168545,1,1
"ENSG00000164032",3.39647560036484e-08,0,2,2,0.0485652940232957,1,1
"ENSG00000167468",0.00322933124027069,1,3,0,0.0465582631583894,1,1
"ENSG00000177879",0.038974090803169,1,3,0,0.0457567279937082,1,1
"ENSG00000042753",0.00723784550399853,0,2,2,0.0451357838520934,1,1
"ENSG00000169692",0.0217332359053445,1,3,0,0.0445197217791742,1,1
"ENSG00000077942",0.0452227677590819,1,3,0,-0.0431174300948939,1,1
"ENSG00000088832",0.0111539272960922,0,2,2,-0.039825319443105,1,1
"ENSG00000184009",9.62827136850825e-11,0,2,2,0.0347421982045379,1,1
"ENSG00000164405",0.0194392763280336,0,2,2,0.0328296368684812,1,1
"ENSG00000265681",0.000569814032833275,1,3,0,0.0315998389888659,1,1
"ENSG00000170315",0.0417901710686218,0,2,2,0.0302160713126771,1,1
"ENSG00000205420",1.05236363890596e-09,0,2,2,-0.0289842020808866,1,1
"ENSG00000243678",0.0202621654532577,0,2,2,-0.0286335850848423,1,1
"ENSG00000126432",0.00637960055613198,1,3,0,-0.0259773558920098,1,1
"ENSG00000164919",0.0352239434360831,0,2,2,-0.0247621817311119,1,1
"ENSG00000108602",0.0296946410475566,1,3,0,-0.0236515672827332,1,1
"ENSG00000125968",0.0121496412306682,0,2,2,0.0229307797027831,1,1
"ENSG00000221983",0.0169661203703948,0,2,2,0.0223660501998544,1,1
"ENSG00000108298",0.000415306060746981,0,2,2,0.0204933738876867,1,1
"ENSG00000170889",0.0105045881637739,0,2,2,0.0199147048008076,1,1
"ENSG00000110700",0.0105045881637739,0,2,2,0.0188177535178926,1,1
"ENSG00000111640",0.0445233847985377,0,2,2,-0.0165643307803409,1,1
"ENSG00000188846",0.03393419414655,0,2,2,0.0137446513544704,1,1
"ENSG00000083845",0.0181627451266968,0,2,2,0.012896552647646,1,1
