"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_uninfected_child_Uninfected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",3.03059413137875e-198,1,3,0,-0.995400626518842,1,1
"ENSG00000152082",5.84527177019408e-44,1,4,0,-0.972227059712541,1,0.8
"ENSG00000134294",2.24835056917159e-07,1,3,0,-0.932706244939886,0.8,0.6
"ENSG00000211450",5.56894139320764e-44,9.37442339598504e-27,4,1,0.923878716778509,1,0.8
"ENSG00000150787",5.06340952902576e-06,1,4,0,-0.922132190564348,1,0.8
"ENSG00000078140",1.8224221786177e-09,1,4,0,0.921674340979873,1,0.8
"ENSG00000104388",5.06340952902576e-06,1,3,0,0.914641986310378,1,0.6
"ENSG00000104408",1.3564690827106e-28,1,6,0,-0.914538655851668,1,0.6
"ENSG00000170348",3.21245890144888e-19,2.74636110859934e-16,6,1,-0.905512230933597,1,0.8
"ENSG00000120963",1.9182722028272e-10,1,8,0,0.894477847335691,1,0.8
"ENSG00000229833",2.19668207371254e-18,1,5,0,-0.893359227344348,1,0.8
"ENSG00000129654",0.000355832326089341,0.000478370040616327,3,1,0.885815561241033,1,0.8
"ENSG00000151632",2.51747865821538e-66,1,4,0,-0.88260991959912,1,1
"ENSG00000100568",3.75697461014317e-14,0.796098768921809,4,0,-0.869489334779806,1,1
"ENSG00000115457",1.51724466455609e-36,4.95809700370866e-37,5,2,0.85503084379061,1,1
"ENSG00000169567",1.01458122962892e-05,0.0207711372497663,3,1,-0.854823071554181,1,1
"ENSG00000065882",0.0267949242938756,0.884179443330208,5,0,-0.821935948797288,1,0.8
"ENSG00000173171",6.75715587739086e-06,9.03771931266865e-06,5,1,-0.81693951703764,1,0.8
"ENSG00000168310",0.001606281738123,0.00172866939712007,4,1,-0.814289060433954,1,0.8
"ENSG00000120256",2.56646024011482e-07,1,3,0,-0.805767249122737,1,0.8
"ENSG00000166869",0.00040662170065728,1,4,0,0.8,0.8,0.8
"ENSG00000010244",0.00194622779033547,1,6,0,0.799996329600516,1,0.6
"ENSG00000102054",2.72186695067514e-06,0.994517979793252,5,0,-0.794889535162234,1,1
"ENSG00000079805",0.0403769116461063,1,5,0,0.793421966247592,1,0.8
"ENSG00000124882",0.0444273797302658,0.476850690032246,3,0,0.789057282372785,1,0.6
"ENSG00000130826",2.26140714623175e-05,0.670076522917511,3,0,0.788682287993359,1,1
"ENSG00000164904",0.00107066247494464,1,7,0,-0.787877194473683,0.8,0.6
"ENSG00000117592",1.72512265885489e-36,1,3,0,0.785364249264442,1,1
"ENSG00000105953",0.0242470914088869,1,3,0,0.783027735514442,1,0.8
"ENSG00000183426",0.00240094720283478,0.521142660845684,4,0,0.782914701174079,1,0.8
"ENSG00000104660",0.00442029120473766,1,3,0,0.782305765280856,1,0.6
"ENSG00000130414",1.66766240670671e-11,1.57873202276758e-07,5,1,-0.782064103372203,1,1
"ENSG00000100979",0.000723571303631897,0.179529617169814,4,0,0.779702392183368,1,0.8
"ENSG00000162896",5.59602897491941e-15,3.24162500617239e-05,4,1,0.777607214432407,1,0.8
"ENSG00000257727",0.001606281738123,0.00580423712616361,5,1,-0.771394415837551,1,1
"ENSG00000213145",1.6809483964631e-20,1,8,0,0.764867428330813,1,1
"ENSG00000142973",4.86210049209804e-104,1,7,0,-0.764170311991478,1,1
"ENSG00000170296",0.000378405848082162,1,6,0,0.761125724085925,1,1
"ENSG00000260916",2.03727981144165e-05,1,5,0,0.755043077543188,1,0.8
"ENSG00000167699",0.0150227130381518,1,5,0,0.749710592460465,1,0.8
"ENSG00000138777",0.0037544632257766,1,4,0,0.749664113026657,1,0.8
"ENSG00000166275",9.36549610894601e-07,1,5,0,-0.743236820948803,1,1
"ENSG00000103342",5.06340952902576e-06,1,4,0,-0.73694120424026,1,1
"ENSG00000164919",1.43117770693925e-29,5.65820281015619e-28,5,2,-0.736860407296498,1,1
"ENSG00000163882",1.14843339606766e-07,1,5,0,0.728641525829442,1,0.8
"ENSG00000173598",4.93552976503542e-12,1,5,0,-0.727287255256522,1,1
"ENSG00000130202",2.41026887285321e-08,1,6,0,-0.718103393333212,1,1
"ENSG00000158747",1.62445538782184e-06,0.000124035419072235,7,1,-0.717390203463732,1,1
"ENSG00000164934",3.20470548611627e-09,1,6,0,-0.716536884201763,1,0.8
"ENSG00000067167",2.26140714623175e-05,0.00247763390618484,4,1,-0.707358290179501,1,0.6
"ENSG00000116285",0.0150227130381518,0.000613058866583757,6,1,0.703293693453439,1,1
"ENSG00000140350",0.000271924512104199,0.0230776894298596,5,1,-0.701669705991754,1,1
"ENSG00000090263",4.59005165758673e-13,1,7,0,-0.694216855052702,1,0.8
"ENSG00000099875",0.00115506533636497,0.00246126792545241,5,1,0.6785651007931,1,0.8
"ENSG00000214046",0.000118132979216337,1,9,0,0.665618848937544,1,0.8
"ENSG00000105856",0.00147959604400408,1,4,0,0.661296996150946,1,1
"ENSG00000125107",0.0460792996167875,1,5,0,0.654357475678515,1,0.6
"ENSG00000117394",0.0256616427066937,1,5,0,-0.651333106371291,0.8,0.8
"ENSG00000068001",0.00480995900013169,1,7,0,-0.648943947016171,1,0.6
"ENSG00000140307",5.23576393549744e-09,1.22799927441579e-09,4,1,-0.645460479714943,1,1
"ENSG00000113387",2.32558679109631e-06,0.0126185833575828,5,1,0.640646780881124,1,1
"ENSG00000184584",0.00438635132792442,0.00655658094748284,12,1,0.636239194711776,1,0.8
