"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000185104"	"ENSG00000185104"	1.93349819602169e-06	1.6621461593212e-06	4	1	-0.791416535152924	1	0.833333333333333
"ENSG00000158864"	"ENSG00000158864"	3.9707437319664e-05	2.59642863934473e-06	3	2	0.332796878154538	1	1
"ENSG00000065154"	"ENSG00000065154"	1.33396769184923e-05	2.98249650475264e-06	3	2	0.586747715907326	1	0.833333333333333
"ENSG00000149547"	"ENSG00000149547"	1.55673399949966e-09	4.21140040757371e-06	3	1	-0.540892817172744	1	1
"ENSG00000120438"	"ENSG00000120438"	1.57874838695798e-12	5.09741840416267e-06	6	1	-0.511740040181999	1	1
"ENSG00000139644"	"ENSG00000139644"	4.52821176851864e-11	6.10583933752805e-06	5	1	0.422529305140595	1	1
"ENSG00000178585"	"ENSG00000178585"	2.09171052053735e-06	9.19463393832485e-06	6	1	-0.55245160530683	0.833333333333333	0.833333333333333
"ENSG00000114125"	"ENSG00000114125"	4.22864371140665e-09	1.0282296270606e-05	4	1	0.559368508037297	1	1
"ENSG00000213246"	"ENSG00000213246"	1.4436846554789e-08	1.81155157679689e-05	3	1	0.743362831853882	1	1
"ENSG00000257727"	"ENSG00000257727"	1.61922203407115e-09	4.32306280251667e-05	4	1	-0.622877102528018	1	1
"ENSG00000245694"	"ENSG00000245694"	1.05340816563955e-15	0.00010358025988294	9	1	-0.406750415226231	1	1
"ENSG00000185825"	"ENSG00000185825"	2.33848200150694e-07	0.000103741395481229	4	1	-0.408015446484077	1	1
"ENSG00000135373"	"ENSG00000135373"	4.3741324089127e-07	0.000105771401100149	6	1	-0.209835315114189	1	1
"ENSG00000163399"	"ENSG00000163399"	1.25149870854134e-31	0.000113072960029705	6	1	-0.552001640980584	1	1
"ENSG00000092820"	"ENSG00000092820"	1.05369051980494e-05	0.000116269773840649	5	1	0.606550053309756	1	1
"ENSG00000080824"	"ENSG00000080824"	3.89002598738049e-07	0.000128850433355782	3	1	-0.328957571048897	1	1
"ENSG00000163882"	"ENSG00000163882"	3.29749089865192e-06	0.000188725610032234	3	1	-0.654492380384346	1	0.833333333333333
"ENSG00000112977"	"ENSG00000112977"	7.55489640171219e-06	0.000220759512937663	3	1	0.698051673590696	1	1
"ENSG00000109390"	"ENSG00000109390"	0.000900015777130868	0.000238189627063836	3	2	-0.513641064271613	1	0.833333333333333
"ENSG00000272398"	"ENSG00000272398"	9.71635177111277e-05	0.000246885372086131	4	1	-0.240292303953386	1	1
"ENSG00000136240"	"ENSG00000136240"	0.000506370524708739	0.000268850925832298	3	1	-0.30633585524149	1	1
"ENSG00000184007"	"ENSG00000184007"	1.07519224284698e-06	0.000373806680687081	3	1	0.548385920664332	1	1
"ENSG00000125505"	"ENSG00000125505"	0.00274539234062968	0.000374172614243666	4	1	0.661653899891297	1	0.833333333333333
"ENSG00000146072"	"ENSG00000146072"	0.0012623395207416	0.000388537354750974	3	1	-0.732800911249363	0.833333333333333	0.833333333333333
"ENSG00000067167"	"ENSG00000067167"	7.93627837646483e-08	0.000401566507062158	3	1	0.905958463362967	1	1
"ENSG00000148700"	"ENSG00000148700"	0.00258212393317701	0.000420614106761983	3	1	-0.728887983890659	0.833333333333333	0.833333333333333
"ENSG00000133318"	"ENSG00000133318"	2.65716594555885e-05	0.000455402292821443	4	1	-0.423704366975698	1	1
"ENSG00000197451"	"ENSG00000197451"	0.0016859029686171	0.000561331564198141	5	1	0.58602366386904	1	1
"ENSG00000156453"	"ENSG00000156453"	0.00224686327255416	0.000605456342633981	3	1	-0.680164990525651	1	0.833333333333333
"ENSG00000115806"	"ENSG00000115806"	0.0012726789738619	0.000754289857109754	3	1	0.676594543141368	1	0.833333333333333
"ENSG00000063854"	"ENSG00000063854"	1.91948646298911e-14	0.000760891454977331	4	1	-0.429629399794348	1	1
"ENSG00000173171"	"ENSG00000173171"	5.37874751234267e-06	0.00100972099035075	5	1	-0.495382520764365	1	1
"ENSG00000115685"	"ENSG00000115685"	0.0128955099514012	0.00120018461538023	5	1	0.364642149926431	1	1
"ENSG00000135926"	"ENSG00000135926"	5.65262922245866e-05	0.00122761962843369	4	1	-0.541920119894621	1	1
"ENSG00000114354"	"ENSG00000114354"	1.60990062445447e-05	0.00134284847816541	5	1	-0.416142988636098	1	1
"ENSG00000067182"	"ENSG00000067182"	0.00115364275848306	0.00155449351908895	3	2	0.428426108257728	1	1
"ENSG00000135052"	"ENSG00000135052"	0.00135475603133799	0.00166292973170658	3	1	-0.485189535897586	1	1
"ENSG00000137098"	"ENSG00000137098"	0.00469931472245729	0.00173259293890274	5	1	-0.390025121358596	1	1
"ENSG00000102054"	"ENSG00000102054"	1.20357099934268e-13	0.00179779020752946	5	1	0.845051550870024	1	1
"ENSG00000168310"	"ENSG00000168310"	1.12138104089779e-05	0.00180151984028541	5	1	0.487500004062415	1	1
"ENSG00000103351"	"ENSG00000103351"	0.00893442255964071	0.00205088074071725	3	2	-0.473889998981292	1	1
"ENSG00000163634"	"ENSG00000163634"	4.75789214267367e-06	0.00222810061341293	4	1	-0.575308269834521	1	1
"ENSG00000185055"	"ENSG00000185055"	0.000315704971608658	0.00235892938699748	6	1	0.471187422848902	1	0.833333333333333
"ENSG00000198960"	"ENSG00000198960"	0.00111828049081502	0.00243274270598368	3	1	0.690330252312578	1	0.666666666666667
"ENSG00000183844"	"ENSG00000183844"	1.77554310110657e-12	0.00248967424897953	5	1	-0.920667552478776	1	0.666666666666667
"ENSG00000143224"	"ENSG00000143224"	0.0103921977735136	0.00272847732481365	5	1	-0.648531664492525	1	0.666666666666667
"ENSG00000177459"	"ENSG00000177459"	0.000201608986437012	0.00309721791561285	3	1	0.418855450726541	1	0.833333333333333
"ENSG00000104979"	"ENSG00000104979"	0.00139894228585323	0.00319493760989569	3	1	0.870368076779366	1	1
"ENSG00000173467"	"ENSG00000173467"	2.44652746032055e-07	0.00323183141768228	4	1	0.180684511522607	1	1
"ENSG00000197982"	"ENSG00000197982"	0.00263739151917278	0.00376007104978916	3	1	-0.291801784197852	1	1
"ENSG00000111907"	"ENSG00000111907"	0.0154280628830675	0.00378937189755491	4	2	0.472864072369554	1	1
"ENSG00000108963"	"ENSG00000108963"	0.00584807910784223	0.00409041721423574	4	1	0.787897017016471	1	0.666666666666667
"ENSG00000110958"	"ENSG00000110958"	6.25408213549576e-13	0.00421419041403445	4	1	0.362250756139056	1	1
"ENSG00000149573"	"ENSG00000149573"	0.00817352553657223	0.00472650059004009	4	1	0.338919753370426	1	1
"ENSG00000104695"	"ENSG00000104695"	0.00206783084313065	0.00490518016746142	3	1	0.360279174146799	1	1
"ENSG00000115310"	"ENSG00000115310"	0.000528883618052568	0.00501716518253457	4	1	-0.265826695335307	1	1
"ENSG00000166145"	"ENSG00000166145"	1.12413835041508e-08	0.00531831135198289	8	1	0.323804167395365	1	1
"ENSG00000100979"	"ENSG00000100979"	4.26334030587996e-05	0.00568565557946907	4	1	-0.664138830548092	1	0.833333333333333
