"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000198830",1.61905295593247e-27,1.37634185030768e-06,5,1,-0.975261510573148,1,0.666666666666667
"ENSG00000152082",1.17564759972478e-54,1,3,0,-0.972548017718997,1,0.666666666666667
"ENSG00000183844",1.77554310110657e-12,0.00248967424897953,5,1,-0.920667552478776,1,0.666666666666667
"ENSG00000171490",1.03281540238368e-07,1,3,0,-0.907933888203035,1,0.666666666666667
"ENSG00000067167",7.93627837646483e-08,0.000401566507062158,3,1,0.905958463362967,1,1
"ENSG00000172037",4.69283044621196e-06,1,3,0,0.897338817871398,1,0.5
"ENSG00000170296",1.74546453713222e-09,5.16648448406031e-09,3,1,-0.891679381734425,1,0.833333333333333
"ENSG00000150753",2.27565637380015e-41,1,5,0,-0.886182924213885,1,0.666666666666667
"ENSG00000152894",4.25692314526471e-05,1,4,0,-0.884994681247506,1,0.5
"ENSG00000141562",1.20518522620325e-07,1,4,0,-0.881830272975255,1,0.5
"ENSG00000167272",9.71635177111277e-05,1,4,0,0.879130430623676,1,0.5
"ENSG00000144028",9.87649274560809e-08,0.795175224389841,3,0,0.879052001081221,1,0.833333333333333
"ENSG00000136986",0.000130869790406416,0.0787777083414961,4,0,0.877378174988446,1,0.666666666666667
"ENSG00000141279",1.42476626562642e-05,1,5,0,-0.874225320760054,1,0.5
"ENSG00000142627",1.64332005709718e-11,1,3,0,0.87151036609013,1,0.833333333333333
"ENSG00000104979",0.00139894228585323,0.00319493760989569,3,1,0.870368076779366,1,1
"ENSG00000159658",0.0262511057615575,0.059911598876562,3,0,0.865080840510179,0.833333333333333,0.5
"ENSG00000137692",6.60909351283728e-11,1,5,0,-0.863501932115039,1,0.666666666666667
"ENSG00000040341",0.00372019295096937,1,4,0,-0.851621804616502,0.833333333333333,0.5
"ENSG00000102054",1.20357099934268e-13,0.00179779020752946,5,1,0.845051550870024,1,1
"ENSG00000174748",1.84246379515141e-178,2.1354744376506e-52,4,2,-0.840121435747088,1,1
"ENSG00000164919",1.18546063206409e-45,2.27540665773006e-47,3,2,0.840111891793255,1,1
"ENSG00000167699",1.45415367936787e-07,0.119186215343292,5,0,0.833711269143472,1,0.666666666666667
"ENSG00000101109",0.00277638478348469,0.0616426581479147,3,0,-0.828148539136511,1,0.666666666666667
"ENSG00000180398",0.000320434867903102,1,5,0,0.825877935896789,0.833333333333333,0.5
"ENSG00000166508",1.57209752608548e-05,1,3,0,0.823234749562085,0.833333333333333,0.833333333333333
"ENSG00000196754",7.86430021041195e-92,6.17110473334711e-66,4,1,0.820493148071014,1,1
"ENSG00000120256",4.44261111717825e-17,0.0729628796646985,3,0,0.818547364633521,1,1
"ENSG00000183751",0.00571284898912961,1,3,0,0.817596581990196,0.833333333333333,0.5
"ENSG00000197063",0.00311046155102542,0.893369808499212,3,0,-0.815571767520923,0.833333333333333,0.666666666666667
"ENSG00000183513",1.26175856218749e-07,1,4,0,0.811936315158262,0.833333333333333,0.666666666666667
"ENSG00000146416",0.0106294897261476,1,3,0,0.810253974760204,0.833333333333333,0.666666666666667
"ENSG00000143416",1.06742949610602e-26,9.14457541203126e-18,4,1,-0.80269113069088,1,0.833333333333333
"ENSG00000142208",0.000514581255382828,1,4,0,0.796377732429226,1,0.666666666666667
"ENSG00000109944",1.46660561174619e-05,1,4,0,0.791660976863534,1,0.666666666666667
"ENSG00000185104",1.93349819602169e-06,1.6621461593212e-06,4,1,-0.791416535152924,1,0.833333333333333
"ENSG00000108963",0.00584807910784223,0.00409041721423574,4,1,0.787897017016471,1,0.666666666666667
"ENSG00000130560",1.77554310110657e-12,1,4,0,0.784592939415261,1,0.833333333333333
"ENSG00000285437",0.000181169212757931,1,7,0,-0.775098743206558,1,0.833333333333333
"ENSG00000170571",0.0144940653876251,0.00689655031628484,3,1,-0.75959530461889,1,0.666666666666667
"ENSG00000078369",0.00133643316279139,1,6,0,0.759582574012033,1,0.5
"ENSG00000070785",0.0277049532931618,0.0770241543713982,3,0,0.756752629212128,1,1
"ENSG00000120690",5.18667808913035e-06,1,3,0,0.755831380905757,0.833333333333333,0.833333333333333
"ENSG00000187118",3.48095669155878e-10,1,5,0,-0.749996993170336,1,1
"ENSG00000256061",1.32745521568723e-06,1,4,0,-0.749166768022249,1,0.833333333333333
"ENSG00000111371",5.39524579767644e-05,1,3,0,-0.748863028256617,1,1
"ENSG00000175575",9.54818897865151e-07,1,4,0,0.748446292946205,1,0.833333333333333
"ENSG00000085733",0.000289475678637912,1,6,0,-0.746189181698902,1,0.666666666666667
"ENSG00000104133",0.0295732480763277,1,4,0,-0.744665336306457,1,0.5
"ENSG00000213246",1.4436846554789e-08,1.81155157679689e-05,3,1,0.743362831853882,1,1
"ENSG00000183255",8.77075937395143e-10,0.228730478853272,4,0,0.742752180337109,1,1
"ENSG00000172890",0.0123785106908034,1,3,0,-0.741737959355263,0.833333333333333,0.666666666666667
"ENSG00000101361",2.84837343499777e-06,5.30671529756227e-07,3,2,0.736712381692606,1,0.833333333333333
"ENSG00000137274",3.88258535500915e-05,0.205714975771257,4,0,0.733835197558366,1,0.833333333333333
"ENSG00000146072",0.0012623395207416,0.000388537354750974,3,1,-0.732800911249363,0.833333333333333,0.833333333333333
"ENSG00000148700",0.00258212393317701,0.000420614106761983,3,1,-0.728887983890659,0.833333333333333,0.833333333333333
