"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000152082",5.31675158124121e-39,4.3765214872701e-37,5,1,0.940607979404978,1,0.8
"ENSG00000147403",1.48614014415285e-89,3.40383387706282e-27,7,2,0.916416515256162,1,1
"ENSG00000170425",0.0183267886124832,1,3,0,0.894404316089299,1,0.6
"ENSG00000111639",1.82506687586073e-36,0.172624401469166,5,0,0.887057032089178,1,1
"ENSG00000150787",0.000166509459133638,1,4,0,0.876333065968988,1,0.8
"ENSG00000251562",6.71329063450177e-42,1,4,0,0.872383153499028,0.8,0.8
"ENSG00000172845",0.0151506282637667,1,3,0,0.859931204274807,1,0.6
"ENSG00000151632",4.88249577870556e-68,1,5,0,0.855033988011478,1,0.8
"ENSG00000142627",4.20712548911869e-07,1,5,0,-0.847784130668017,1,0.8
"ENSG00000169609",0.00655392310024937,1,4,0,-0.846425248960399,1,0.6
"ENSG00000116285",4.86506883887665e-07,1.1790615955267e-05,3,1,-0.838662540242391,1,1
"ENSG00000185567",1.04390104986828e-08,3.04917650980687e-08,6,1,0.837417576282562,1,0.8
"ENSG00000085224",0.0475925732393729,1,4,0,-0.833333333333333,0.8,0.6
"ENSG00000115694",6.01788186849437e-05,1,8,0,-0.832716327884836,1,0.8
"ENSG00000245910",9.07654798814601e-07,1,4,0,0.831319067699527,1,0.6
"ENSG00000137996",0.01051515232999,0.598753688431745,4,0,-0.827117505420166,1,0.8
"ENSG00000081721",0.018920763236658,0.67334717826082,3,0,0.822974274351318,0.8,0.6
"ENSG00000164062",0.0183267886124832,1,3,0,-0.818781485992937,1,0.8
"ENSG00000174748",5.75913398457625e-107,1.55325249716227e-08,6,1,-0.806155448146291,1,1
"ENSG00000196754",4.0355958443159e-72,4.7400829417325e-24,6,2,0.797335972918674,1,1
"ENSG00000105568",0.00108645740782717,1,4,0,-0.797022835995497,1,0.6
"ENSG00000173848",0.00020194260180843,0.0103354813979579,4,1,0.792885314601218,1,0.8
"ENSG00000120738",8.7880639533469e-06,7.05797593245969e-05,3,1,0.787805719177924,1,1
"ENSG00000117592",1.16562009951086e-39,1,3,0,-0.784725157161375,1,1
"ENSG00000100979",0.000851888234818633,0.761892434685847,5,0,-0.777781076396349,1,0.8
"ENSG00000164919",1.15328839916628e-25,1.22522362034903e-25,5,2,0.773082760690585,1,1
"ENSG00000162896",8.35591520715917e-06,1,4,0,-0.771589092399159,1,0.8
"ENSG00000113732",4.3289541363724e-40,9.92989999972922e-12,4,1,-0.770968862506518,1,1
"ENSG00000108963",0.0332511281980065,0.0265803014425431,4,1,0.770732375826423,1,0.8
"ENSG00000260916",0.001934055430175,1,5,0,-0.761520253590928,1,0.8
"ENSG00000079462",1.80108459341003e-05,0.0273581067318631,5,1,-0.747880833220865,1,1
"ENSG00000171155",0.0274144146520054,1,3,0,-0.744075309920508,1,0.8
"ENSG00000070831",3.61966227446458e-20,1,4,0,-0.742834248711735,1,1
"ENSG00000163882",8.58428660481413e-07,0.000858972464487521,6,1,-0.739822533143437,1,0.8
"ENSG00000101608",5.45373315136799e-14,0.00497946880215565,7,1,-0.734840014784974,1,1
"ENSG00000257727",0.00357248209694774,0.0070494281451987,6,1,-0.716931349682408,1,1
"ENSG00000167986",0.0455053339674897,0.0098562179276636,4,1,-0.704245606198919,1,0.8
"ENSG00000090263",4.58174216429759e-11,1,6,0,0.67852176693547,1,0.8
"ENSG00000172809",0.0145532020528209,0.0515086720077793,4,0,0.6750997931996,1,1
"ENSG00000167085",0.0138576064152658,0.00430281789023773,3,2,0.668890218022856,1,0.8
"ENSG00000164904",0.0162620266566038,1,8,0,-0.666666666666667,0.8,0.6
"ENSG00000184887",0.0405733827256276,1,4,0,0.664619519675661,1,0.6
"ENSG00000174547",8.91476610082679e-06,0.00417200091086819,5,1,0.661852227065943,1,1
"ENSG00000115457",1.95412628191551e-20,5.37900022193716e-18,5,1,-0.652650151053394,1,1
