"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_VIC01_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000164032",0.00685968628642326,0.00454622395576189,3,1,-0.170950086171928,1,1
"ENSG00000120129",0.0269938665989348,0.036115031646871,4,1,0.169370035187277,1,1
"ENSG00000087460",4.38321242969e-05,1,13,0,0.164480075694772,1,1
"ENSG00000206073",0.0393437390015028,1,3,0,-0.160935068738989,1,1
"ENSG00000068697",0.000886557255448228,1,4,0,-0.157901976716046,1,1
"ENSG00000123416",0.00718850341950539,1,3,0,0.155268305478947,1,1
"ENSG00000117525",0.00498544291348865,1,5,0,0.137901926069501,1,1
"ENSG00000165272",1.56415294467824e-05,1,3,0,0.136941352723387,1,1
"ENSG00000142765",0.0068955666450994,1,6,0,-0.135623095450718,1,1
"ENSG00000163931",0.0121649748005288,1,4,0,-0.126950016847939,1,1
"ENSG00000166165",0.0339100328867533,1,3,0,0.125045969271901,1,1
"ENSG00000106211",0.000395656726704427,1,3,0,-0.115844193657517,1,1
"ENSG00000075415",0.000789334768903131,1,3,0,0.0947809850653744,1,1
"ENSG00000215845",0.0430158352612408,1,7,0,-0.0941177641317915,1,1
"ENSG00000205420",0.000100960259676394,1,3,0,-0.0894704900010052,1,1
"ENSG00000130066",0.0314969508162566,1,5,0,-0.0872558930678801,1,1
"ENSG00000170421",0.00908381816147935,1,4,0,0.0776889148913475,1,1
"ENSG00000187514",1.55670197402337e-05,1,3,0,0.056133908181362,1,1
