"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000147403"	"ENSG00000147403"	1.5160336792947e-13	4.48712909432097e-08	9	1	0.200436124288005	1	1
"ENSG00000160113"	"ENSG00000160113"	1.06673484522043e-10	2.24594479344632e-07	4	2	-0.434061198139945	1	1
"ENSG00000198830"	"ENSG00000198830"	6.10161405948192e-18	7.82763533797307e-06	4	1	-0.942034703808649	1	0.833333333333333
"ENSG00000115561"	"ENSG00000115561"	9.02914253878038e-09	9.3471668542833e-06	3	1	0.448529502902799	1	1
"ENSG00000136986"	"ENSG00000136986"	9.51134661811536e-06	1.15814057096232e-05	4	1	0.865635584847595	1	0.666666666666667
"ENSG00000178585"	"ENSG00000178585"	1.03351539478537e-06	1.24181407919566e-05	5	1	-0.537474471267438	1	1
"ENSG00000177830"	"ENSG00000177830"	7.87037049577971e-06	1.46767902136406e-05	3	1	-0.838494891447326	1	0.666666666666667
"ENSG00000184007"	"ENSG00000184007"	6.89707403030137e-06	2.42649577639794e-05	3	1	-0.45747606586055	1	1
"ENSG00000067167"	"ENSG00000067167"	5.45563459026243e-08	3.57193544502515e-05	3	1	0.887238081057999	1	1
"ENSG00000148700"	"ENSG00000148700"	0.000266787904152278	6.44445500339602e-05	3	1	-0.716252111269074	1	1
"ENSG00000183255"	"ENSG00000183255"	7.42377927078741e-06	8.65370795368208e-05	4	1	0.625957675796369	1	0.833333333333333
"ENSG00000116285"	"ENSG00000116285"	0.00022957764768048	0.000156966222053159	3	1	0.494468201353676	1	1
"ENSG00000149547"	"ENSG00000149547"	8.1136126623456e-06	0.000218951229760735	3	1	0.487277710487234	1	1
"ENSG00000177879"	"ENSG00000177879"	0.000756956772853921	0.000359494420603745	3	1	0.423145525748171	1	1
"ENSG00000173467"	"ENSG00000173467"	8.71730617183146e-08	0.000382586582893818	4	1	0.232089517570376	1	1
"ENSG00000122359"	"ENSG00000122359"	1.02666411177099e-07	0.000495641262230826	7	1	-0.362179017197173	1	1
"ENSG00000133265"	"ENSG00000133265"	0.00015181585115214	0.000657472971706253	5	1	0.447618649084768	1	1
"ENSG00000154813"	"ENSG00000154813"	1.11288410175338e-05	0.000785778387888255	4	1	-0.852836532702176	1	0.666666666666667
"ENSG00000108588"	"ENSG00000108588"	2.8716019176397e-07	0.00113599881048009	3	1	-0.656720090668486	1	1
"ENSG00000137699"	"ENSG00000137699"	0.00270183293332129	0.001163867181255	3	1	-0.635980728086538	1	0.833333333333333
"ENSG00000109339"	"ENSG00000109339"	0.00135293861489532	0.00150060129421203	10	1	-0.603065468040311	1	0.833333333333333
"ENSG00000163634"	"ENSG00000163634"	1.71269421518113e-08	0.00163110707985972	4	1	-0.754300855692644	1	1
"ENSG00000213246"	"ENSG00000213246"	1.14988669707569e-05	0.00236102777797313	4	1	0.714151974771508	1	1
"ENSG00000166598"	"ENSG00000166598"	0.000110471289444998	0.00252645597854315	4	1	0.355363826791243	1	1
"ENSG00000263001"	"ENSG00000263001"	1.53598232945157e-06	0.00341472133138157	4	1	0.575147329152144	1	0.833333333333333
"ENSG00000128016"	"ENSG00000128016"	8.67652400250462e-06	0.00362061456635024	3	1	-0.224351747733314	1	1
"ENSG00000114209"	"ENSG00000114209"	1.34891990645189e-07	0.00379418643351571	7	1	0.419050293955122	1	0.833333333333333
"ENSG00000004455"	"ENSG00000004455"	3.05823645169498e-05	0.0039472397214797	4	1	-0.454545454543054	0.833333333333333	0.833333333333333
"ENSG00000147676"	"ENSG00000147676"	0.00926877359000841	0.00429040836914062	3	1	-0.32292873466028	1	1
"ENSG00000170296"	"ENSG00000170296"	1.83707797492741e-06	0.00460354797655377	3	1	-0.931743700494385	1	0.833333333333333
"ENSG00000136826"	"ENSG00000136826"	0.00228289972654087	0.00462837296268354	4	1	-0.524852971962163	1	1
"ENSG00000117362"	"ENSG00000117362"	0.0109125556729009	0.0054826501224479	3	1	-0.315301462450126	1	1
"ENSG00000127022"	"ENSG00000127022"	2.81829280460909e-10	0.00599834168872846	5	1	-0.587652056581602	1	1
"ENSG00000175756"	"ENSG00000175756"	0.0313104837984451	0.00611544703131846	4	1	0.375052424250707	1	1
"ENSG00000120438"	"ENSG00000120438"	1.30529060672658e-05	0.0070788654503903	3	1	-0.502111436838685	1	1
"ENSG00000163399"	"ENSG00000163399"	1.15458274828493e-27	0.00718108854576371	5	1	-0.542568605595894	1	1
"ENSG00000116212"	"ENSG00000116212"	0.0152721719356927	0.00803577556330723	4	1	-0.569577971911446	1	1
"ENSG00000063854"	"ENSG00000063854"	1.08046406998616e-10	0.00825023287018498	5	1	-0.318580300686903	1	1
"ENSG00000100359"	"ENSG00000100359"	3.84200261399777e-09	0.00830304155983402	8	1	0.478223038759338	1	0.833333333333333
"ENSG00000167920"	"ENSG00000167920"	0.0035864054709458	0.00850846450382284	6	1	-0.431737533809121	1	0.833333333333333
"ENSG00000114125"	"ENSG00000114125"	7.86841464283465e-09	0.00920483559661478	3	1	-0.466585336300297	1	1
"ENSG00000111237"	"ENSG00000111237"	0.0177839359818652	0.00933834026180206	3	1	0.215502571763968	1	1
"ENSG00000042753"	"ENSG00000042753"	0.0302191721794153	0.0114389042196257	4	1	-0.218388730572721	1	1
"ENSG00000241468"	"ENSG00000241468"	0.0145385070441598	0.0127561262061163	3	2	-0.231299029550673	1	1
"ENSG00000052802"	"ENSG00000052802"	0.0126756719297348	0.0138999104862819	4	1	0.318968463011357	1	1
"ENSG00000099901"	"ENSG00000099901"	0.0323373857646444	0.0139380789162772	3	1	0.18142782275341	1	1
"ENSG00000041357"	"ENSG00000041357"	2.81175841785459e-05	0.0145302906606805	5	2	0.739030384708231	1	0.833333333333333
"ENSG00000136560"	"ENSG00000136560"	0.0358354366650934	0.0169125750543355	4	1	0.499999999996969	1	1
"ENSG00000068120"	"ENSG00000068120"	0.00650947523073118	0.0172438950082031	4	1	0.513742017560128	1	1
"ENSG00000140254"	"ENSG00000140254"	0.0157670046090662	0.0188280901951973	3	1	0.697184854455328	1	0.666666666666667
"ENSG00000110321"	"ENSG00000110321"	1.23231112968997e-06	0.0200257901007311	7	1	0.390485591150251	1	1
"ENSG00000004838"	"ENSG00000004838"	1.23231112968997e-06	0.0205933016428937	4	1	-0.188031468017178	1	1
"ENSG00000102024"	"ENSG00000102024"	0.0320117263398037	0.0212532050020201	4	1	-0.672506640990171	1	0.833333333333333
"ENSG00000258752"	"ENSG00000258752"	7.03008068132085e-05	0.0226479579465536	3	1	-0.491014749396947	1	1
"ENSG00000146072"	"ENSG00000146072"	0.000987715235577886	0.024205974298029	3	1	0.634367173981225	1	1
"ENSG00000172845"	"ENSG00000172845"	0.00277257440095029	0.0245401542475373	5	1	-0.575757575757572	1	0.833333333333333
"ENSG00000183172"	"ENSG00000183172"	0.00296733077377411	0.0258747824166464	6	1	0.419351790585482	1	1
"ENSG00000029993"	"ENSG00000029993"	0.019848892109297	0.0278361957244926	4	1	-0.62299886886129	1	1
"ENSG00000177459"	"ENSG00000177459"	0.0185352400276531	0.0310599623535012	3	1	0.476683762573307	1	1
"ENSG00000100979"	"ENSG00000100979"	0.000291190154676541	0.0320562157247458	4	1	-0.525399365193426	1	0.833333333333333
"ENSG00000167986"	"ENSG00000167986"	0.0498055443907389	0.0338294110394734	3	1	-0.454815784562316	1	1
"ENSG00000166946"	"ENSG00000166946"	0.0498055443907389	0.0361912473672252	4	1	0.241856388127505	1	1
"ENSG00000160799"	"ENSG00000160799"	0.00027193289296249	0.0384167384661744	6	1	0.349524899477614	1	1
"ENSG00000128272"	"ENSG00000128272"	0.00157996878430622	0.0385898827959053	4	1	0.293197480454681	1	1
"ENSG00000244879"	"ENSG00000244879"	0.0118060127477189	0.0394184318704604	4	1	-0.662555635603966	1	0.666666666666667
"ENSG00000116350"	"ENSG00000116350"	0.00124060897559528	0.0396144606270089	4	1	0.231127721181266	1	1
"ENSG00000118705"	"ENSG00000118705"	0.00570383546465011	0.0399128223372218	4	1	0.404299457929511	1	1
"ENSG00000162949"	"ENSG00000162949"	4.05611549121037e-05	0.0411151835457208	6	1	-0.300140671708956	1	1
"ENSG00000103415"	"ENSG00000103415"	0.0332066556417698	0.0411375093091747	3	1	-0.460258583381656	1	1
"ENSG00000168310"	"ENSG00000168310"	0.000830330649241524	0.0425840465341118	5	1	0.503026844567758	1	0.833333333333333
"ENSG00000157778"	"ENSG00000157778"	0.0298407293088154	0.0443471754468718	5	1	0.509090756435753	1	0.833333333333333
"ENSG00000105974"	"ENSG00000105974"	0.0118817688250892	0.0489939028308079	5	1	-0.279352948365394	1	1
