"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000159128",3.44439671835784e-17,1,5,0,-0.961136169174425,1,0.5
"ENSG00000198830",6.10161405948192e-18,7.82763533797307e-06,4,1,-0.942034703808649,1,0.833333333333333
"ENSG00000170296",1.83707797492741e-06,0.00460354797655377,3,1,-0.931743700494385,1,0.833333333333333
"ENSG00000183844",5.45563459026243e-08,1,4,0,-0.915769235592171,1,0.5
"ENSG00000205084",0.00462990464858712,0.652055065161333,3,0,0.897470067511054,0.833333333333333,0.5
"ENSG00000104408",5.10294973522167e-54,1,5,0,-0.894700551607213,1,0.833333333333333
"ENSG00000067167",5.45563459026243e-08,3.57193544502515e-05,3,1,0.887238081057999,1,1
"ENSG00000160087",2.27336168772043e-10,1,5,0,0.886883491195263,1,0.5
"ENSG00000177570",4.90024668245402e-05,0.558466719371793,3,0,-0.885119614392419,1,0.666666666666667
"ENSG00000125520",0.00259369338299837,1,3,0,-0.880116964836473,1,0.5
"ENSG00000085733",1.15255719170898e-05,1,6,0,-0.874999773536166,0.833333333333333,0.666666666666667
"ENSG00000136986",9.51134661811536e-06,1.15814057096232e-05,4,1,0.865635584847595,1,0.666666666666667
"ENSG00000245910",1.14547876276603e-06,1,4,0,-0.856817722175278,1,0.666666666666667
"ENSG00000154813",1.11288410175338e-05,0.000785778387888255,4,1,-0.852836532702176,1,0.666666666666667
"ENSG00000164919",1.08382365370297e-47,1.74005930966652e-49,3,2,0.852119178077501,1,1
"ENSG00000129951",0.00351754644069369,1,3,0,-0.84679941315638,0.666666666666667,0.5
"ENSG00000171206",7.96697669222332e-05,1,3,0,-0.843292954881371,1,0.833333333333333
"ENSG00000113387",2.95464370545282e-21,9.69615292674132e-11,3,2,-0.839308860735888,1,1
"ENSG00000177830",7.87037049577971e-06,1.46767902136406e-05,3,1,-0.838494891447326,1,0.666666666666667
"ENSG00000171490",1.11288410175338e-05,1,3,0,0.833293658750751,0.833333333333333,0.666666666666667
"ENSG00000170017",2.00216041867195e-06,1,5,0,-0.831598417986995,1,0.833333333333333
"ENSG00000168300",6.85915320995288e-19,1,3,0,0.827818619566768,1,0.833333333333333
"ENSG00000120256",1.38874081598973e-18,1,3,0,-0.827275464683479,1,0.833333333333333
"ENSG00000112655",0.00589262934076676,0.491013516693037,3,0,-0.827082711319447,0.833333333333333,0.666666666666667
"ENSG00000131941",0.000464204196840701,1,3,0,0.820642279750449,1,0.5
"ENSG00000143416",1.15286474059123e-28,2.88002735750905e-15,5,1,-0.819313803973512,1,1
"ENSG00000184887",0.00586813684679106,1,5,0,-0.814950740827782,1,0.5
"ENSG00000196754",5.93007164542257e-73,3.14142968275914e-22,5,2,0.802028081269816,1,1
"ENSG00000103876",0.00610550762496366,1,4,0,-0.798798738243631,0.833333333333333,0.666666666666667
"ENSG00000141562",1.85164197827136e-05,1,5,0,-0.794039174102662,1,0.5
"ENSG00000166508",5.04028122034674e-06,1,4,0,-0.79370417203207,1,0.5
"ENSG00000174748",5.56702675564634e-123,7.26472220111425e-32,4,2,-0.792750126077315,1,1
"ENSG00000070831",1.11337510147127e-41,1,3,0,-0.780281691761319,1,0.833333333333333
"ENSG00000104881",1.11288410175338e-05,1,3,0,-0.779871134923215,0.833333333333333,0.666666666666667
"ENSG00000164930",1.52322582153807e-05,1,5,0,-0.772542588276943,1,0.666666666666667
"ENSG00000135205",3.89456564561535e-05,0.335969011117542,3,0,-0.771512841628648,1,1
"ENSG00000099810",0.00494177702946404,1,4,0,0.768477757954229,0.833333333333333,0.5
"ENSG00000142973",6.5308689371839e-101,1,6,0,-0.766478799145226,1,1
"ENSG00000004961",1.34891990645189e-07,1,5,0,0.766155903524236,0.833333333333333,0.833333333333333
"ENSG00000102054",7.36929341518295e-09,1,4,0,0.762598697355343,1,1
"ENSG00000090263",3.05061599452011e-27,1,5,0,0.756252536570286,1,0.833333333333333
"ENSG00000163634",1.71269421518113e-08,0.00163110707985972,4,1,-0.754300855692644,1,1
"ENSG00000155621",0.016803967476399,1,4,0,-0.749999999999957,1,0.666666666666667
"ENSG00000115677",0.000921167805062887,1,3,0,-0.748125431018462,0.833333333333333,0.666666666666667
"ENSG00000134058",0.000201609013208472,1,5,0,-0.747907391558917,0.833333333333333,0.5
"ENSG00000198589",0.0454814338709387,1,4,0,-0.746851091838076,0.833333333333333,0.666666666666667
"ENSG00000152894",0.00855210374266137,1,3,0,-0.74517847724775,1,0.666666666666667
"ENSG00000166200",6.13927978211132e-05,1,3,0,-0.743259518687679,1,0.833333333333333
"ENSG00000041357",2.81175841785459e-05,0.0145302906606805,5,2,0.739030384708231,1,0.833333333333333
"ENSG00000119487",0.0335944029959089,1,3,0,0.737063323966915,0.833333333333333,0.5
"ENSG00000120533",3.31692419524415e-13,1,4,0,-0.736842517785252,1,0.833333333333333
"ENSG00000165410",0.00263956634596675,1,5,0,-0.735280658595891,0.833333333333333,0.5
"ENSG00000142627",3.26360507036278e-08,1,4,0,-0.732216563149593,1,0.833333333333333
"ENSG00000127914",0.0109843768143795,1,4,0,0.729009750525901,0.833333333333333,0.666666666666667
"ENSG00000130560",1.83085921588279e-12,1,4,0,0.728445310629296,1,1
"ENSG00000226067",0.00567644638667237,1,4,0,-0.72182196995407,1,0.666666666666667
"ENSG00000101882",3.209570119046e-05,1,3,0,-0.721040988991928,1,1
