"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_Ciliated_UK_72hpi_child_Infected-Secretory_Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000196683",1.04746155296179e-67,1,3,0,0.9894281189015,1,0.8
"ENSG00000156467",6.94520324483317e-37,1,3,0,-0.965469624972607,1,0.6
"ENSG00000067167",0.000242389485090684,1,3,0,-0.91925423013275,1,0.6
"ENSG00000229809",0.00682503143894671,1,3,0,-0.866466704345528,1,0.6
"ENSG00000151632",5.78625908744932e-57,1,4,0,0.858132137851881,1,1
"ENSG00000131375",0.034436432481841,1,4,0,-0.847340369572375,0.8,0.4
"ENSG00000160087",1.19588406592251e-06,1,7,0,-0.842104435939447,1,0.6
"ENSG00000114270",0.0138199629390595,1,3,0,0.83418708254818,0.8,0.4
"ENSG00000198830",0.00103648721559061,1,7,0,-0.831482758225407,1,1
"ENSG00000174748",2.37470846151992e-101,1.44866011057693e-09,6,1,-0.821483280628531,1,1
"ENSG00000104687",0.0240508851764763,0.0278078153122843,3,1,-0.796425170445455,1,0.6
"ENSG00000111639",1.38108330469334e-44,0.0237135142836838,5,1,0.794520552247252,1,1
"ENSG00000143977",3.65196715055374e-19,1.30294565125104e-16,4,1,0.792403748269437,1,1
"ENSG00000196754",1.41917917806833e-116,4.14951957467023e-49,6,1,0.782946940336564,1,1
"ENSG00000129235",6.05118316187407e-07,0.0945431624557296,6,0,-0.780297737687513,1,1
"ENSG00000063660",3.31956957682573e-05,2.56105452230645e-05,4,1,0.756262329521101,1,1
"ENSG00000152558",0.000154509325050569,1,4,0,-0.752084016647514,1,0.8
"ENSG00000163166",0.0369085505335714,0.043244134426793,3,1,-0.751652628916398,1,0.8
"ENSG00000001630",0.0395148502783119,0.588473570034178,3,0,-0.746065181583267,0.8,0.6
"ENSG00000093010",1.43652967632403e-05,0.12590815502269,8,0,0.739034617962361,1,1
"ENSG00000173848",0.00869651766616833,1,3,0,0.728457255362995,1,1
"ENSG00000173598",3.27005716215479e-05,1,5,0,-0.714484131416482,1,0.6
"ENSG00000174021",8.07304845957134e-27,0,2,2,-0.707210203175505,1,1
"ENSG00000136830",0.0140045949600299,1,6,0,-0.698249807901358,1,0.6
"ENSG00000163634",0.034436432481841,0.237825056700157,6,0,-0.695012310070615,1,0.8
"ENSG00000142627",4.36494019300616e-05,1,4,0,-0.679631352212084,1,0.8
"ENSG00000127022",0.00861962381347979,0.00973331534910131,5,1,-0.66977527550923,1,0.8
"ENSG00000119431",0.0049880424412455,1,3,0,0.653928386853466,1,1
"ENSG00000101608",3.90892127114489e-11,0.0164358392242965,6,2,-0.638699212026927,1,1
"ENSG00000166145",0.0152385717819666,1,10,0,-0.636360600614152,1,0.6
"ENSG00000132424",4.28920847225293e-05,1,14,0,0.624999025682409,1,0.6
"ENSG00000155438",0.0456380469320155,0.0501608951445572,3,0,-0.62381852976772,1,1
"ENSG00000073578",3.90892127114489e-11,0.296961204709517,7,0,-0.619408025265909,1,0.6
"ENSG00000187118",1.44938877038941e-05,1,4,0,0.601919762989378,1,1
"ENSG00000138772",5.26108904421954e-05,1,3,0,-0.578694617863026,1,1
"ENSG00000168003",4.7270672953124e-11,1.01594516304133e-08,7,1,-0.560268757464477,1,1
"ENSG00000159377",2.18536477564157e-07,0.0791923603227305,3,0,0.5579562042881,1,1
"ENSG00000137500",0.00018025075756821,1,9,0,0.553954654334991,1,0.6
"ENSG00000157601",0.000297276372401878,0.0163190785530983,11,1,0.545107878685587,1,1
"ENSG00000159166",1.57643181649149e-05,1,4,0,0.54407608176924,1,1
"ENSG00000119335",0.00125421132520872,1,4,0,0.542134041767926,1,1
"ENSG00000266412",0.000131311753790485,1,10,0,-0.53961248059926,1,0.8
"ENSG00000143549",0.00320003549839501,1,9,0,0.533430675531891,1,0.6
"ENSG00000169567",0.00360791702448754,1,9,0,0.529944327330824,1,1
"ENSG00000135968",0.0444737083634128,1,8,0,-0.529411764393205,1,0.6
