"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000174021"	"ENSG00000174021"	1.11797530765717e-73	0	2	2	-0.613869309879775	1	1
"ENSG00000149273"	"ENSG00000149273"	1.38062139462028e-290	0	2	2	-0.59684771951491	1	1
"ENSG00000129194"	"ENSG00000129194"	0.0422105975425613	0	2	2	-0.595708959814741	1	0.666666666666667
"ENSG00000138698"	"ENSG00000138698"	0.0487724842424757	0	2	2	0.570346447983269	0.833333333333333	0.666666666666667
"ENSG00000171792"	"ENSG00000171792"	0.0484060611051285	0	2	2	0.563683622321876	0.833333333333333	0.666666666666667
"ENSG00000175938"	"ENSG00000175938"	0.002730695384015	0	2	2	-0.471689822986446	1	0.833333333333333
"ENSG00000102144"	"ENSG00000102144"	8.03565861986341e-09	0	2	2	-0.430309581336785	1	1
"ENSG00000152558"	"ENSG00000152558"	0.00311075378473635	0	2	2	0.39328587369425	1	1
"ENSG00000113811"	"ENSG00000113811"	0.00652987410967362	0	2	2	0.392295425964963	1	1
"ENSG00000164405"	"ENSG00000164405"	8.99666910642615e-08	0	2	2	-0.352860697511603	1	1
"ENSG00000215068"	"ENSG00000215068"	0.0476091214112761	0	2	2	-0.336860607611829	1	1
"ENSG00000156508"	"ENSG00000156508"	5.16140591441143e-207	0	2	2	-0.331327963136886	1	1
"ENSG00000170477"	"ENSG00000170477"	3.71479670210516e-05	0	2	2	-0.295616532311083	1	1
"ENSG00000170540"	"ENSG00000170540"	0.00371819107366823	0	2	2	-0.282321048916921	1	1
"ENSG00000131188"	"ENSG00000131188"	0.0324929251578709	0	2	2	-0.257930794321794	1	1
"ENSG00000147676"	"ENSG00000147676"	0.0331331034856141	0	2	2	0.222856300433426	1	1
"ENSG00000124802"	"ENSG00000124802"	0.0432197332610944	0	2	2	0.22173557514225	1	1
"ENSG00000168275"	"ENSG00000168275"	0.0381476228656334	0	2	2	0.206788282750065	1	1
"ENSG00000176153"	"ENSG00000176153"	0.04267547335368	0	2	2	0.191687138399566	1	1
"ENSG00000179218"	"ENSG00000179218"	0.0246925797508181	0	2	2	0.119660856258916	1	1
"ENSG00000197448"	"ENSG00000197448"	0.0166230801075736	0	2	2	-0.110997760995237	1	1
"ENSG00000140319"	"ENSG00000140319"	0.000309696762642006	0	2	2	-0.104769194493955	1	1
"ENSG00000162909"	"ENSG00000162909"	0.0131961766906935	0	2	2	0.088553222597876	1	1
"ENSG00000057149"	"ENSG00000057149"	2.85490228380473e-21	0	2	2	0.075707959225524	1	1
"ENSG00000241343"	"ENSG00000241343"	0.00201738162630875	0	2	2	-0.0742625386215826	1	1
"ENSG00000142676"	"ENSG00000142676"	0.0113643575825984	0	2	2	0.0637756152759281	1	1
"ENSG00000118680"	"ENSG00000118680"	0.0351159409879961	0	2	2	0.0520925742343042	1	1
"ENSG00000117450"	"ENSG00000117450"	1.86142694403274e-08	0	2	2	-0.0495378470949472	1	1
"ENSG00000164032"	"ENSG00000164032"	0.00380131462546185	0	2	2	-0.0418736165732732	1	1
"ENSG00000128422"	"ENSG00000128422"	1.20584525033025e-09	0	2	2	-0.034081668415585	1	1
"ENSG00000164919"	"ENSG00000164919"	4.61571054497032e-61	2.60754401307888e-58	4	2	-0.724670004248457	1	1
"ENSG00000115457"	"ENSG00000115457"	1.32914843911304e-51	4.54654159473155e-49	4	2	0.867593081271926	1	1
"ENSG00000211450"	"ENSG00000211450"	5.17795541238538e-62	1.9644585387499e-42	3	1	0.938888419227106	1	0.666666666666667
"ENSG00000104529"	"ENSG00000104529"	2.19777416790528e-44	1.40931108107196e-38	3	2	-0.45963293874721	1	1
"ENSG00000122026"	"ENSG00000122026"	8.36118939389669e-78	1.14918302220532e-29	3	1	-0.390968346885709	1	1
"ENSG00000140307"	"ENSG00000140307"	3.83157746529058e-24	4.64647429845158e-24	3	2	-0.59863858714723	1	1
"ENSG00000100650"	"ENSG00000100650"	9.81438965191388e-40	2.1796524938567e-23	5	1	-0.576138332607218	1	1
"ENSG00000173171"	"ENSG00000173171"	8.95672046862958e-28	3.39639849351563e-20	3	1	-0.884331530376555	1	1
"ENSG00000173486"	"ENSG00000173486"	3.10470235242491e-32	2.35158204129714e-19	5	1	0.55315353024907	1	1
"ENSG00000174547"	"ENSG00000174547"	6.34224954193057e-28	6.3643842385975e-18	5	2	-0.821762976273482	1	1
"ENSG00000178741"	"ENSG00000178741"	1.9047842283082e-43	1.42223291701411e-17	3	1	0.454048279025029	1	1
"ENSG00000203875"	"ENSG00000203875"	3.85521474277141e-18	2.34637544560066e-17	6	3	0.500088335108487	1	1
"ENSG00000070756"	"ENSG00000070756"	3.97077489506446e-52	6.30778663259281e-17	6	1	-0.496489791735253	1	1
"ENSG00000100575"	"ENSG00000100575"	2.27023549102861e-17	1.28914299572185e-16	4	1	-0.839997835981739	0.833333333333333	0.666666666666667
"ENSG00000004455"	"ENSG00000004455"	6.41083571702045e-19	2.32689349688367e-16	3	1	0.754098417464092	0.833333333333333	0.833333333333333
"ENSG00000162896"	"ENSG00000162896"	2.88024879939286e-37	9.63569144143843e-16	4	1	0.78861072984977	1	0.833333333333333
"ENSG00000130414"	"ENSG00000130414"	3.80364733900346e-25	1.49616474266841e-15	3	1	-0.734794197210021	1	1
"ENSG00000108244"	"ENSG00000108244"	2.78962224353975e-28	2.08533729123989e-15	3	1	-0.327275487103567	1	1
"ENSG00000080824"	"ENSG00000080824"	4.84705879436039e-50	2.70500626858238e-15	3	1	0.831747857354892	1	1
"ENSG00000163466"	"ENSG00000163466"	2.40798920154157e-13	2.8946412061425e-14	3	1	0.198833230025281	1	1
"ENSG00000137818"	"ENSG00000137818"	1.85057847986828e-12	3.13339160041129e-14	3	2	-0.312115058837187	1	1
"ENSG00000158747"	"ENSG00000158747"	5.60130122884166e-13	1.58796841473244e-12	3	1	-0.913814063330821	1	0.833333333333333
"ENSG00000198668"	"ENSG00000198668"	4.01913090598587e-44	3.10135169948455e-12	5	2	0.613072449420832	1	1
"ENSG00000164713"	"ENSG00000164713"	4.90465400076858e-13	3.86074155188383e-12	3	1	0.358460123433974	1	1
"ENSG00000163399"	"ENSG00000163399"	2.01957461705813e-15	8.36184313281313e-12	6	1	-0.668026775916638	1	1
"ENSG00000231925"	"ENSG00000231925"	1.76170496156368e-10	1.22394544943446e-11	4	2	0.84155512382724	1	0.833333333333333
"ENSG00000204220"	"ENSG00000204220"	2.24658881225226e-09	2.98182869047865e-10	4	2	0.698016036068863	1	0.833333333333333
"ENSG00000130164"	"ENSG00000130164"	1.77501126960565e-13	1.5337896582871e-09	3	1	-0.901797920015003	1	1
"ENSG00000174444"	"ENSG00000174444"	2.53420823394552e-12	1.73028827435511e-09	3	2	0.951127644419576	1	1
