"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000116285",3.74448398581625e-06,1.91392293585895e-06,3,2,0.544802428923768,1,1
"ENSG00000129654",1.73700665703431e-06,0.00396672838758327,3,1,0.544559075087884,0.833333333333333,0.833333333333333
"ENSG00000111371",0.0015143928674983,0.394312910280685,3,0,-0.544118175629096,0.666666666666667,0.666666666666667
"ENSG00000132463",0.00316917339266782,0.0404170046170483,4,1,-0.543477987153776,1,1
"ENSG00000141030",0.00121524983025955,1,4,0,-0.542962370398938,0.833333333333333,0.666666666666667
"ENSG00000180881",1.94265142966636e-06,0.0259560709269484,5,1,-0.542436327870871,1,0.5
"ENSG00000111725",0.0113453924284338,1,4,0,0.540867928844554,1,0.833333333333333
"ENSG00000182670",2.16650927219488e-30,1,8,0,0.539569886905985,1,0.833333333333333
"ENSG00000017483",0.0267732286773589,1,4,0,-0.538194844154683,0.833333333333333,0.5
"ENSG00000117419",0.0163838041383342,0.00409476192842291,4,1,0.537129061448078,0.833333333333333,0.833333333333333
"ENSG00000109929",0.000617291365335095,0.129709442988481,5,0,-0.535767749527294,0.833333333333333,0.5
"ENSG00000164733",2.76805311061693e-43,0.193457014226656,9,0,-0.534804407558791,1,1
"ENSG00000130363",0.00622230970803532,1,3,0,0.534701757672546,1,0.833333333333333
"ENSG00000100644",0.0142403174792411,0.119781479389827,5,0,0.531848536088079,1,0.666666666666667
"ENSG00000114126",7.16498412223317e-05,0.0227888708548905,5,1,-0.531249877785255,0.833333333333333,0.666666666666667
"ENSG00000149196",9.53755719237713e-18,0.0722569862242241,5,0,0.531032613640762,1,0.833333333333333
"ENSG00000134058",0.00881288745580069,0.00648026745196212,4,1,0.530697001512318,0.833333333333333,0.833333333333333
"ENSG00000135317",0.00021726092437559,1,6,0,0.529099006055693,1,0.666666666666667
"ENSG00000173511",0.00572918868693003,0.00685201308813732,4,1,-0.527634164849683,0.833333333333333,0.666666666666667
"ENSG00000114331",1.45160487567272e-12,1,6,0,0.527075274613654,1,0.666666666666667
"ENSG00000096093",1.11176680280341e-12,1,8,0,0.526566096263118,1,0.666666666666667
