"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000172809"	"ENSG00000172809"	6.42571093484839e-19	7.26828060362734e-14	5	1	0.816661831072642	1	1
"ENSG00000169567"	"ENSG00000169567"	7.06340259285227e-21	1.34025555354115e-13	3	1	-0.85500491075864	1	0.833333333333333
"ENSG00000100129"	"ENSG00000100129"	5.5905612422846e-50	1.59919720366826e-12	4	1	0.742035857392259	1	1
"ENSG00000105519"	"ENSG00000105519"	7.39903061463402e-20	3.02738075761654e-12	6	3	-0.473825333266716	1	1
"ENSG00000116209"	"ENSG00000116209"	1.05062959367841e-28	7.19048928022973e-12	4	1	-0.183782889173195	1	1
"ENSG00000127184"	"ENSG00000127184"	1.22506433162223e-12	4.93922495934748e-10	3	1	-0.169592252559437	1	1
"ENSG00000137975"	"ENSG00000137975"	1.24970413833564e-12	9.93589227013356e-10	3	1	0.901018694499634	1	0.833333333333333
"ENSG00000196683"	"ENSG00000196683"	7.06761889538511e-123	1.20127182612245e-09	3	1	-0.97298110686862	1	0.833333333333333
"ENSG00000115661"	"ENSG00000115661"	1.81602166171229e-09	1.24018782095147e-09	4	1	0.724129664739142	1	1
"ENSG00000204220"	"ENSG00000204220"	9.33517107886753e-14	1.3248597336783e-09	5	1	-0.686429534306939	1	1
"ENSG00000108953"	"ENSG00000108953"	3.51780884496224e-11	1.75616435552664e-09	4	1	0.293163627637427	1	1
"ENSG00000133665"	"ENSG00000133665"	6.35806295783337e-12	1.85079468528136e-09	5	1	-0.573132750219409	1	1
"ENSG00000127022"	"ENSG00000127022"	7.7809444220916e-13	7.73698578187147e-09	4	1	0.584375141103463	1	1
"ENSG00000125868"	"ENSG00000125868"	4.70701377208624e-12	8.17892138468667e-08	3	1	0.442914305879032	1	1
"ENSG00000161203"	"ENSG00000161203"	2.29978021354819e-16	8.69388707904724e-08	4	1	-0.238233100858395	1	1
"ENSG00000181163"	"ENSG00000181163"	1.65703166256982e-06	4.29641636465812e-07	3	1	0.578909364821354	1	1
"ENSG00000163584"	"ENSG00000163584"	4.10676622403433e-11	4.72062337053096e-07	4	1	-0.282290657734288	1	1
"ENSG00000182196"	"ENSG00000182196"	4.91511127600206e-19	5.32481605471314e-07	5	1	0.435122512930448	1	1
"ENSG00000173272"	"ENSG00000173272"	3.9527684036023e-11	7.06236848519374e-07	3	1	0.264672951585718	1	1
"ENSG00000260916"	"ENSG00000260916"	4.42306995712075e-09	7.29637622809847e-07	4	1	0.598040118495577	1	1
"ENSG00000110852"	"ENSG00000110852"	1.69818185684002e-07	8.20492786882508e-07	3	1	0.763722145190211	1	0.833333333333333
"ENSG00000204385"	"ENSG00000204385"	2.09699902883474e-16	9.80002033874472e-07	6	1	0.609756546457604	1	1
"ENSG00000136802"	"ENSG00000136802"	1.88176981187798e-05	1.66975282024512e-06	4	2	0.679591389066488	1	0.833333333333333
"ENSG00000157916"	"ENSG00000157916"	3.62356011965944e-05	2.05478791737032e-06	3	2	0.442465984342814	1	1
"ENSG00000177459"	"ENSG00000177459"	3.58530486790412e-07	2.3465766729688e-06	3	1	-0.649162135586705	1	1
"ENSG00000122545"	"ENSG00000122545"	5.02375827925115e-29	2.56972197310765e-06	5	1	-0.44207361134545	1	1
"ENSG00000110958"	"ENSG00000110958"	1.21332683249255e-13	4.98331678166471e-06	3	1	0.417963646775376	1	1
"ENSG00000278558"	"ENSG00000278558"	4.73898118806255e-05	7.89334169043922e-06	3	1	0.844386281308204	1	0.666666666666667
"ENSG00000168310"	"ENSG00000168310"	2.87679023256752e-05	9.93024549112227e-06	3	1	-0.784852302640679	1	0.833333333333333
"ENSG00000150753"	"ENSG00000150753"	3.45537127014451e-11	1.21300377859675e-05	3	1	-0.379160273418355	1	1
"ENSG00000258752"	"ENSG00000258752"	2.29235873888971e-05	1.23797743814998e-05	3	1	-0.531213397302363	1	1
"ENSG00000245532"	"ENSG00000245532"	1.74790906435185e-09	2.06791085653909e-05	4	4	-0.229539996213005	1	1
"ENSG00000017797"	"ENSG00000017797"	4.44809545138661e-13	2.59084099995126e-05	3	1	0.975165026329266	1	0.666666666666667
"ENSG00000198830"	"ENSG00000198830"	3.74354473727741e-33	2.63440771222516e-05	8	1	0.903624949978167	1	1
"ENSG00000127125"	"ENSG00000127125"	9.89647709845136e-07	2.78764866748601e-05	6	2	-0.329838041968673	1	1
"ENSG00000110536"	"ENSG00000110536"	1.89792301333881e-06	5.00940354243372e-05	7	1	-0.64999827866138	1	1
"ENSG00000157778"	"ENSG00000157778"	3.48147904152016e-13	5.48174961496306e-05	6	2	0.503525027116397	1	1
